,dataset_id,filename,year,layer,xlnet_corr,xlnet_pvalue,roberta_corr,roberta_pvalue,xlm_corr,xlm_pvalue
0,MSRpar_2012test,MSRpar,2012test,1,0.051138487054597156,0.0,0.0238387561376782,2.16859779001566e-155,0.02015428891917026,1.2271124974124861e-111
1,MSRpar_2012train,MSRpar,2012train,1,0.058128881158311496,0.0,0.02919168114058687,3.777564765312514e-232,0.010101158499563393,2.140046053965426e-29
2,MSRvid_2012test,MSRvid,2012test,1,0.012130435319031399,8.804424187202801e-42,0.016229799926498565,2.2676775640798406e-73,-1.0700229363587757e-05,0.9904690231319393
3,MSRvid_2012train,MSRvid,2012train,1,0.03734756020406545,0.0,0.04201459791143286,0.0,0.014402249658987143,2.9086952957168965e-58
4,answer-answer_2016,answer-answer,2016,1,0.07914090009419839,1.7279230733810617e-168,0.07450922791632116,1.4137792358373792e-149,0.03848522073754011,2.9061945161431284e-41
5,answers-forums_2015,answers-forums,2015,1,0.03667700107606993,1.5565566756987623e-89,0.003989427662220785,0.029088675525838742,0.0027039042488816783,0.1391188826401991
6,deft-forum_2014,deft-forum,2014,1,0.048796697690952136,1.233327843434278e-227,0.03711129851047836,1.5711649749951908e-132,0.048700561721517426,9.523799769629489e-227
7,deft-news_2014,deft-news,2014,1,0.10743561094030887,0.0,0.11038941062558465,0.0,0.03928717664206223,3.3210755453413803e-66
8,headlines_2013,headlines,2013,1,0.007955601705620687,2.2758714280244604e-18,-0.0031422277098469794,0.000554159512187467,-0.004498171732382573,7.684688698732796e-07
9,headlines_2014,headlines,2014,1,-0.00845993873582887,1.626589335172604e-20,-0.024643939624284426,4.310331414823271e-161,-0.01298262577321623,4.625867671044741e-46
10,headlines_2015,headlines,2015,1,0.015285237060926927,1.581544478737505e-63,0.010516963732179224,5.397382908150135e-31,-0.0065443031704918555,5.853598188834833e-13
11,headlines_2016,headlines,2016,1,0.024599783949540405,3.9516843820259164e-17,0.017447417114237057,2.4037668570365414e-09,0.004970324156926895,0.08911346919280462
12,images_2014,images,2014,1,-0.024941921303144026,1.4605199395272675e-165,-0.042244703279179,0.0,-0.005392042211240356,3.058971347430916e-09
13,images_2015,images,2015,1,0.01066759035046044,6.801871656227999e-32,0.009063373024395452,1.7605340098326973e-23,0.009217456534186019,3.133160866523035e-24
14,track5.en-en_2017,track5.en-en,2017,1,0.03005891123527799,4.339357455098163e-28,0.04564175058611509,1.6824220902135896e-62,0.006937833291504865,0.01120501639484739
15,MSRpar_2012test,MSRpar,2012test,2,0.06343465551554346,0.0,0.04462433578541042,0.0,0.04046299542480145,0.0
16,MSRpar_2012train,MSRpar,2012train,2,0.06477921942863046,0.0,0.043412202170187986,0.0,0.04897256653034641,0.0
17,MSRvid_2012test,MSRvid,2012test,2,0.00835089894542353,1.1327641908955068e-20,0.008707427164772404,2.457105769425515e-22,-0.00024616541821730905,0.7834577878480717
18,MSRvid_2012train,MSRvid,2012train,2,0.028074762470893903,5.4582431639683717e-216,0.03831239590411056,0.0,0.022332051733246556,2.0321113169959107e-137
19,answer-answer_2016,answer-answer,2016,2,0.07698148948711951,1.5728842681622583e-159,0.09334579123529667,1.3838336459150075e-233,0.04852104500301494,1.5493747573658808e-64
20,answers-forums_2015,answers-forums,2015,2,0.01681054974069531,3.727417782785766e-20,0.01579833038086285,5.526299904656145e-18,0.0007581133921161239,0.6783611500281699
21,deft-forum_2014,deft-forum,2014,2,0.04400631841704166,1.5866568025023585e-185,0.044595672769890626,1.7940345504752544e-190,0.04173645101631903,4.3541607450752044e-167
22,deft-news_2014,deft-news,2014,2,0.07720848876801367,4.3608338081425584e-250,0.06752717662559575,8.510873476799626e-192,0.057841090018091665,2.8976731941371224e-141
23,headlines_2013,headlines,2013,2,0.012134579334826062,1.4457606719310814e-40,-0.002776257154964146,0.0022813152044865313,-0.0061485279485512445,1.4102640434924222e-11
24,headlines_2014,headlines,2014,2,-0.011960299497958824,2.3413373163134554e-39,-0.01891823281479104,9.580905670312793e-96,-0.021377728389384208,1.02017169906521e-121
25,headlines_2015,headlines,2015,2,0.011217028571160416,5.02485404916361e-35,0.006814636864393068,6.3126360312443e-14,-0.003868736328126323,2.0567960100164625e-05
26,headlines_2016,headlines,2016,2,0.013591649369162951,3.335389786366664e-06,0.015031745150257785,2.7242517247260883e-07,0.00034218925851844885,0.9068240895321444
27,images_2014,images,2014,2,-0.02750447440859536,6.974592884686249e-201,-0.0350538876330271,0.0,-0.012822926878632774,3.881760811277535e-45
28,images_2015,images,2015,2,0.007454840675499631,2.1487405772080706e-16,0.012099696766124206,1.5280796191132305e-40,0.010911066141700272,2.742095518931303e-33
29,track5.en-en_2017,track5.en-en,2017,2,0.0331888528200752,7.084602530147988e-34,0.04583339280267919,5.192842108960817e-63,0.012671546217228498,3.616388970208136e-06
30,MSRpar_2012test,MSRpar,2012test,3,0.04724386154281547,0.0,0.033488661735941776,1.2947836647844327e-304,0.052325509577163504,0.0
31,MSRpar_2012train,MSRpar,2012train,3,0.0690201947284567,0.0,0.04585147755701437,0.0,0.057519153809098694,0.0
32,MSRvid_2012test,MSRvid,2012test,3,0.013262753154043358,1.3326559397298662e-49,0.009319972252921811,2.360189045341688e-25,0.00452364451726549,4.414958667456513e-07
33,MSRvid_2012train,MSRvid,2012train,3,0.03836704505580372,0.0,0.036903012538218566,0.0,0.027004204914904642,5.477066781714014e-200
34,answer-answer_2016,answer-answer,2016,3,0.08264402008736002,1.5054688328571217e-183,0.08888822306909158,5.254732052883026e-212,0.06003216268029285,8.625531114698908e-98
35,answers-forums_2015,answers-forums,2015,3,0.02799844684663263,6.014315316578763e-53,0.021294553227155413,2.336109709074801e-31,0.004957668870272049,0.006689340463290699
36,deft-forum_2014,deft-forum,2014,3,0.04108324493776375,5.814942822695026e-162,0.043803984645438415,7.648923541370523e-184,0.04490886289550786,3.966466661390202e-193
37,deft-news_2014,deft-news,2014,3,0.07641802873555364,4.9051226709527816e-245,0.043090647870943244,2.8865224574337016e-79,0.06771090496457638,7.874135104080229e-193
38,headlines_2013,headlines,2013,3,0.011559381374283409,5.687878986291313e-37,-0.0014769078874563098,0.1045831248507232,-0.004110453439431734,6.268307171328351e-06
39,headlines_2014,headlines,2014,3,-0.004384291995104462,1.4976488291243794e-06,-0.01622801938352269,5.967306614121724e-71,-0.015973894522517303,8.371213116735786e-69
