,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences
0,roberta-base,1,not_processed_together,0.24808794518154736,0.1233117354036356,-0.023646152313338442,0.18223589838888027
1,roberta-base,2,not_processed_together,0.2507006974140494,0.12415946405647672,-0.01975574444363994,0.18306259426198684
2,roberta-base,3,not_processed_together,0.2745172229951727,0.12398262971924191,0.015599594615687438,0.18262040830358695
3,roberta-base,4,not_processed_together,0.2816074997031283,0.12363021042751894,0.026113213770159353,0.1824634883046312
4,roberta-base,5,not_processed_together,0.29836727696391885,0.12858940837113425,0.050992896811908245,0.18974767087387406
5,roberta-base,6,not_processed_together,0.30718821236433486,0.13898532077966494,0.06408746683388135,0.20520823435336594
6,roberta-base,7,not_processed_together,0.2939903376513336,0.13345008060345942,0.044483574937815115,0.19741774343204918
7,roberta-base,8,not_processed_together,0.30990154975970524,0.13223483709546166,0.06809176411426016,0.19587656032855338
8,roberta-base,9,not_processed_together,0.3160762045399965,0.13471946283522096,0.07725796312964132,0.19953220325845708
9,roberta-base,10,not_processed_together,0.303726894979414,0.1350572056541233,0.05892556509887896,0.20011570727030978
10,roberta-base,11,not_processed_together,0.29134405703120875,0.14162684487785335,0.0405552039312232,0.2096126401836901
11,roberta-base,12,not_processed_together,0.2974851834238772,0.14629617303963277,0.04968343980971093,0.2161775144526711
12,bert-base-uncased,1,not_processed_together,0.2992828988915832,0.11599642328790848,0.05234031695099898,0.17136308954090776
13,bert-base-uncased,2,not_processed_together,0.30460898851945567,0.10231134747244401,0.06023502210107628,0.15137685420508007
14,bert-base-uncased,3,not_processed_together,0.3045754601318328,0.10623695387051198,0.06019705896418284,0.1567535208760006
15,bert-base-uncased,4,not_processed_together,0.31784039162007977,0.11967972439490847,0.07987687713403593,0.1771352199462452
16,bert-base-uncased,5,not_processed_together,0.3293746644158662,0.11436662539567526,0.09697574443638783,0.16997504858957888
17,bert-base-uncased,6,not_processed_together,0.3275769489481602,0.11839530090797121,0.09431886729509979,0.17556177611309756
18,bert-base-uncased,7,not_processed_together,0.3169247696924153,0.11939618645791719,0.0785294569949452,0.1763008069789414
19,bert-base-uncased,8,not_processed_together,0.31597561937712826,0.12220375062107958,0.07714407371896104,0.17964404359960207
20,bert-base-uncased,9,not_processed_together,0.32391446123750267,0.11875241690554804,0.08892918673873682,0.1744066252044208
21,bert-base-uncased,10,not_processed_together,0.32839198571295625,0.12143016635289086,0.09555239802351023,0.17925103923915175
22,bert-base-uncased,11,not_processed_together,0.3293076076406206,0.11203203454199832,0.09689981816260099,0.16565536803925032
23,bert-base-uncased,12,not_processed_together,0.32924055086537507,0.12414868435845319,0.0968238918888141,0.1828871102147933
24,distilroberta,1,not_processed_together,0.2516498477293366,0.11722085324667174,-0.01837036116765577,0.17355476522160562
25,distilroberta,2,not_processed_together,0.26125229150692586,0.13108322213148424,-0.004080223554165646,0.19292511066789644
26,distilroberta,3,not_processed_together,0.28157397131550554,0.1254693118837023,0.02607525063326592,0.1847923431497894
27,distilroberta,4,not_processed_together,0.2709553204473835,0.12972037375044548,0.010323803470004767,0.19081404828610304
28,distilroberta,5,not_processed_together,0.2912770002559632,0.14640807970314543,0.040479277657436336,0.21602528351527134
29,distilroberta,6,not_processed_together,0.2965695614962128,0.13328123568148353,0.0483360196706202,0.19637137477879818
30,xlnet-base-cased,1,not_processed_together,0.32130170900500066,0.12064426629123715,0.08503877886903832,0.17770374653525228
31,xlnet-base-cased,2,not_processed_together,0.3089523994444182,0.129367697589712,0.06670638083827597,0.19083523618133408
32,xlnet-base-cased,3,not_processed_together,0.2983672769639189,0.12377971192550355,0.050992896811908245,0.18256308904791915
33,xlnet-base-cased,4,not_processed_together,0.32045314385258183,0.1273115165746983,0.08376728500373445,0.18808488786253064
34,xlnet-base-cased,5,not_processed_together,0.30009793565637927,0.12953404874738722,0.05357384767940944,0.19074024205698648
35,xlnet-base-cased,6,not_processed_together,0.30189565112408534,0.12161729509773964,0.05623072482069749,0.17930526663628732
36,xlnet-base-cased,7,not_processed_together,0.2869335893310007,0.1193815817760577,0.03400791892023664,0.17650507075753727
37,xlnet-base-cased,8,not_processed_together,0.28506881708804926,0.12114265205403266,0.03127511550516173,0.177845393730007
