,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences
0,bert-base-uncased,1,not_processed_together,0.2992828988915832,0.11599642328790848,0.05234031695099898,0.17136308954090776
1,bert-base-uncased,2,not_processed_together,0.30460898851945567,0.10231134747244401,0.06023502210107628,0.15137685420508007
2,bert-base-uncased,3,not_processed_together,0.3045754601318328,0.10623695387051198,0.06019705896418284,0.1567535208760006
3,bert-base-uncased,4,not_processed_together,0.31784039162007977,0.11967972439490847,0.07987687713403593,0.1771352199462452
4,bert-base-uncased,5,not_processed_together,0.3293746644158662,0.11436662539567526,0.09697574443638783,0.16997504858957888
5,bert-base-uncased,6,not_processed_together,0.3275769489481602,0.11839530090797121,0.09431886729509979,0.17556177611309756
6,bert-base-uncased,7,not_processed_together,0.3169247696924153,0.11939618645791719,0.0785294569949452,0.1763008069789414
7,bert-base-uncased,8,not_processed_together,0.31597561937712826,0.12220375062107958,0.07714407371896104,0.17964404359960207
8,bert-base-uncased,9,not_processed_together,0.32391446123750267,0.11875241690554804,0.08892918673873682,0.1744066252044208
9,bert-base-uncased,10,not_processed_together,0.32839198571295625,0.12143016635289086,0.09555239802351023,0.17925103923915175
10,bert-base-uncased,11,not_processed_together,0.3293076076406206,0.11203203454199832,0.09689981816260099,0.16565536803925032
11,bert-base-uncased,12,not_processed_together,0.32924055086537507,0.12414868435845319,0.0968238918888141,0.1828871102147933
12,roberta-base,1,not_processed_together,0.24808794518154736,0.1233117354036356,-0.023646152313338442,0.18223589838888027
13,roberta-base,2,not_processed_together,0.2507006974140494,0.12415946405647672,-0.01975574444363994,0.18306259426198684
14,roberta-base,3,not_processed_together,0.2745172229951727,0.12398262971924191,0.015599594615687438,0.18262040830358695
15,roberta-base,4,not_processed_together,0.2816074997031283,0.12363021042751894,0.026113213770159353,0.1824634883046312
16,roberta-base,5,not_processed_together,0.29836727696391885,0.12858940837113425,0.050992896811908245,0.18974767087387406
17,roberta-base,6,not_processed_together,0.30718821236433486,0.13898532077966494,0.06408746683388135,0.20520823435336594
18,roberta-base,7,not_processed_together,0.2939903376513336,0.13345008060345942,0.044483574937815115,0.19741774343204918
19,roberta-base,8,not_processed_together,0.30990154975970524,0.13223483709546166,0.06809176411426016,0.19587656032855338
20,roberta-base,9,not_processed_together,0.3160762045399965,0.13471946283522096,0.07725796312964132,0.19953220325845708
21,roberta-base,10,not_processed_together,0.303726894979414,0.1350572056541233,0.05892556509887896,0.20011570727030978
22,roberta-base,11,not_processed_together,0.29134405703120875,0.14162684487785335,0.0405552039312232,0.2096126401836901
23,roberta-base,12,not_processed_together,0.2974851834238772,0.14629617303963277,0.04968343980971093,0.2161775144526711
24,bert-base-japanese,1,not_processed_together,0.25344756319704254,0.15517497014982168,-0.015713484026367727,0.23031558238580374
25,bert-base-japanese,2,not_processed_together,0.257790974122005,0.1429263630270315,-0.009242125289168037,0.21140453342736557
26,bert-base-japanese,3,not_processed_together,0.24985213226163056,0.14117211315742884,-0.021027238308943815,0.2088420079235693
27,bert-base-japanese,4,not_processed_together,0.24985213226163058,0.14508622854222106,-0.021027238308943826,0.21467212226094315
28,bert-base-japanese,5,not_processed_together,0.24988566064925335,0.1461103007169326,-0.020989275172050393,0.21654238617842886
29,bert-base-japanese,6,not_processed_together,0.25256546965700094,0.15222268984999845,-0.017022941028565032,0.22593730997426872
30,bert-base-japanese,7,not_processed_together,0.2560603154295446,0.1575017818599196,-0.011823076156669218,0.23344356128036745
31,bert-base-japanese,8,not_processed_together,0.2507677541892949,0.1565291285173264,-0.01967981816985308,0.23202772152508785
32,bert-base-japanese,9,not_processed_together,0.2596222179773338,0.1559463768821348,-0.006547285010986546,0.2314259192576588
33,bert-base-japanese,10,not_processed_together,0.26318412052512297,0.1352949447027933,-0.0012714938653038738,0.20108837328950682
34,bert-base-japanese,11,not_processed_together,0.26759458822533105,0.13159640798485553,0.005275791145682673,0.19557561905691662
35,bert-base-japanese,12,not_processed_together,0.25073422580167215,0.13079391866482526,-0.019717781306746514,0.19337170930666037
36,openai-community/gpt2,1,not_processed_together,0.25952163281446544,0.1338571455711059,-0.006661174421666836,0.19748889724130336
37,openai-community/gpt2,2,not_processed_together,0.27014028368258747,0.1376603629427182,0.009090272741594319,0.2034759924537226
38,openai-community/gpt2,3,not_processed_together,0.2815739713155055,0.1425402105486819,0.026075250633265924,0.21031051950280205
39,openai-community/gpt2,4,not_processed_together,0.28069187777546395,0.13983268035352486,0.02476579363106861,0.20627195054474523
40,openai-community/gpt2,5,not_processed_together,0.27892769069538065,0.1345838563333422,0.02214687962667399,0.19844091505673234
41,openai-community/gpt2,6,not_processed_together,0.29127700025596315,0.12767121176692076,0.04047927765743633,0.18801609157162538
42,openai-community/gpt2,7,not_processed_together,0.2974516550362545,0.14206013507532803,0.0496454766728175,0.2094900693903218
43,openai-community/gpt2,8,not_processed_together,0.30450840335658735,0.14738447545864455,0.060121132690395984,0.21740046205666247
44,openai-community/gpt2,9,not_processed_together,0.30803677751675373,0.1428328784018078,0.06535896069918522,0.2105762172448546
45,openai-community/gpt2,10,not_processed_together,0.309800964596837,0.1452077571648105,0.06797787470357984,0.21411444933835289
46,openai-community/gpt2,11,not_processed_together,0.29127700025596326,0.14220234506324045,0.04047927765743633,0.20974276149252874
47,openai-community/gpt2,12,not_processed_together,0.253380506421797,0.13015434542716292,-0.015789410300154585,0.19239984430875343
48,microsoft/phi-1,1,not_processed_together,0.24815500195679296,0.12867256646344505,-0.02357022603955159,0.1910012604185676
49,microsoft/phi-1,2,not_processed_together,0.26847668176537265,0.12257251445140267,0.006585248147879982,0.18218984325468143
50,microsoft/phi-1,3,not_processed_together,0.2605378399049982,0.12199199659667903,-0.005199864871895814,0.18138584263480967
51,microsoft/phi-1,4,not_processed_together,0.2658304011452478,0.12470335321227072,0.0026568771412880518,0.18536756114538758
52,microsoft/phi-1,5,not_processed_together,0.2631505921375002,0.130253077403436,-0.0013094570021973098,0.1932458649873396
53,microsoft/phi-1,6,not_processed_together,0.26579687275762504,0.13604152755036827,0.0026189140043946213,0.20182636604313703
54,microsoft/phi-1,7,not_processed_together,0.2675610598377082,0.1373810161084008,0.005237828008789243,0.20380468877329785
55,microsoft/phi-1,8,not_processed_together,0.26226849859745865,0.13908066699487687,-0.002618914004394616,0.2063631117279205
56,microsoft/phi-1,9,not_processed_together,0.2667124946852894,0.14494899770663006,0.003966334143485362,0.21538221131660845
57,microsoft/phi-1,10,not_processed_together,0.2720385843131618,0.14230769072190727,0.011861039293562648,0.2117601725944985
58,microsoft/phi-1,11,not_processed_together,0.2685102101529954,0.14342745779662947,0.006623211284773412,0.21343962137632683
59,microsoft/phi-1,12,not_processed_together,0.2711564907731202,0.14218681006508715,0.010551582291365342,0.21158647972658262
60,microsoft/phi-1,13,not_processed_together,0.272820092690335,0.14470046619580823,0.013056606885079673,0.21430378391318666
61,microsoft/phi-1,14,not_processed_together,0.2692581901425459,0.14640233976722786,0.007780815739397003,0.21651153864654152
62,microsoft/phi-1,15,not_processed_together,0.2657298159823795,0.14422300282121306,0.0025429877306077653,0.21328617267877042
63,microsoft/phi-1,16,not_processed_together,0.2657298159823795,0.1432486038254813,0.002542987730607767,0.21183415094205418
64,microsoft/phi-1,17,not_processed_together,0.2692581901425459,0.14382864678662252,0.007780815739397011,0.2126761759862007
65,microsoft/phi-1,18,not_processed_together,0.2718709423750479,0.13990005000913938,0.011671223609095513,0.20643091343457287
66,microsoft/phi-1,19,not_processed_together,0.27631493846287875,0.13744403360239912,0.018256471756975493,0.20311251675110256
67,microsoft/phi-1,20,not_processed_together,0.28778215448341954,0.14054123116577638,0.035279412785540525,0.20765628821026677
68,microsoft/phi-1,21,not_processed_together,0.2851358738632947,0.14177731134723753,0.03135104177894859,0.2095167928145943
69,microsoft/phi-1,22,not_processed_together,0.29134405703120875,0.136934194588393,0.0405552039312232,0.202624777578072
70,microsoft/phi-1,23,not_processed_together,0.2701738120702103,0.1187932398841328,0.009128235878487748,0.17575495811636305
