,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences
0,bert-base-uncased,1,not_processed_together,0.2992828988915832,0.11599642328790848,0.05234031695099898,0.17136308954090776
1,bert-base-uncased,2,not_processed_together,0.30460898851945567,0.10231134747244401,0.06023502210107628,0.15137685420508007
2,bert-base-uncased,3,not_processed_together,0.3045754601318328,0.10623695387051198,0.06019705896418284,0.1567535208760006
3,bert-base-uncased,4,not_processed_together,0.31784039162007977,0.11967972439490847,0.07987687713403593,0.1771352199462452
4,bert-base-uncased,5,not_processed_together,0.3293746644158662,0.11436662539567526,0.09697574443638783,0.16997504858957888
5,bert-base-uncased,6,not_processed_together,0.3275769489481602,0.11839530090797121,0.09431886729509979,0.17556177611309756
6,bert-base-uncased,7,not_processed_together,0.3169247696924153,0.11939618645791719,0.0785294569949452,0.1763008069789414
7,bert-base-uncased,8,not_processed_together,0.31597561937712826,0.12220375062107958,0.07714407371896104,0.17964404359960207
8,bert-base-uncased,9,not_processed_together,0.32391446123750267,0.11875241690554804,0.08892918673873682,0.1744066252044208
9,bert-base-uncased,10,not_processed_together,0.32839198571295625,0.12143016635289086,0.09555239802351023,0.17925103923915175
10,bert-base-uncased,11,not_processed_together,0.3293076076406206,0.11203203454199832,0.09689981816260099,0.16565536803925032
11,bert-base-uncased,12,not_processed_together,0.32924055086537507,0.12414868435845319,0.0968238918888141,0.1828871102147933
12,roberta-base,1,not_processed_together,0.24808794518154736,0.1233117354036356,-0.023646152313338442,0.18223589838888027
13,roberta-base,2,not_processed_together,0.2507006974140494,0.12415946405647672,-0.01975574444363994,0.18306259426198684
14,roberta-base,3,not_processed_together,0.2745172229951727,0.12398262971924191,0.015599594615687438,0.18262040830358695
15,roberta-base,4,not_processed_together,0.2816074997031283,0.12363021042751894,0.026113213770159353,0.1824634883046312
16,roberta-base,5,not_processed_together,0.29836727696391885,0.12858940837113425,0.050992896811908245,0.18974767087387406
17,roberta-base,6,not_processed_together,0.30718821236433486,0.13898532077966494,0.06408746683388135,0.20520823435336594
18,roberta-base,7,not_processed_together,0.2939903376513336,0.13345008060345942,0.044483574937815115,0.19741774343204918
19,roberta-base,8,not_processed_together,0.30990154975970524,0.13223483709546166,0.06809176411426016,0.19587656032855338
20,roberta-base,9,not_processed_together,0.3160762045399965,0.13471946283522096,0.07725796312964132,0.19953220325845708
21,roberta-base,10,not_processed_together,0.303726894979414,0.1350572056541233,0.05892556509887896,0.20011570727030978
22,roberta-base,11,not_processed_together,0.29134405703120875,0.14162684487785335,0.0405552039312232,0.2096126401836901
23,roberta-base,12,not_processed_together,0.2974851834238772,0.14629617303963277,0.04968343980971093,0.2161775144526711
24,bert-base-japanese,1,not_processed_together,0.25344756319704254,0.15517497014982168,-0.015713484026367727,0.23031558238580374
25,bert-base-japanese,2,not_processed_together,0.257790974122005,0.1429263630270315,-0.009242125289168037,0.21140453342736557
26,bert-base-japanese,3,not_processed_together,0.24985213226163056,0.14117211315742884,-0.021027238308943815,0.2088420079235693
27,bert-base-japanese,4,not_processed_together,0.24985213226163058,0.14508622854222106,-0.021027238308943826,0.21467212226094315
28,bert-base-japanese,5,not_processed_together,0.24988566064925335,0.1461103007169326,-0.020989275172050393,0.21654238617842886
29,bert-base-japanese,6,not_processed_together,0.25256546965700094,0.15222268984999845,-0.017022941028565032,0.22593730997426872
30,bert-base-japanese,7,not_processed_together,0.2560603154295446,0.1575017818599196,-0.011823076156669218,0.23344356128036745
31,bert-base-japanese,8,not_processed_together,0.2507677541892949,0.1565291285173264,-0.01967981816985308,0.23202772152508785
32,bert-base-japanese,9,not_processed_together,0.2596222179773338,0.1559463768821348,-0.006547285010986546,0.2314259192576588
33,bert-base-japanese,10,not_processed_together,0.26318412052512297,0.1352949447027933,-0.0012714938653038738,0.20108837328950682
34,bert-base-japanese,11,not_processed_together,0.26759458822533105,0.13159640798485553,0.005275791145682673,0.19557561905691662
35,bert-base-japanese,12,not_processed_together,0.25073422580167215,0.13079391866482526,-0.019717781306746514,0.19337170930666037
36,openai-community/gpt2,1,not_processed_together,0.2860514957909592,0.12875603597810997,0.03269846191803934,0.19047976638997027
37,openai-community/gpt2,2,not_processed_together,0.28340521517083433,0.12494293095832275,0.02877009091144739,0.1848181742705442
38,openai-community/gpt2,3,not_processed_together,0.28957986995112556,0.13241954453751115,0.037936289926828584,0.19591249200814084
39,openai-community/gpt2,4,not_processed_together,0.30016499243162487,0.13934010002391697,0.053649773953196304,0.2061507310891202
40,openai-community/gpt2,5,not_processed_together,0.3098680213720826,0.14004383289632794,0.06805380097736671,0.2071366606216805
41,openai-community/gpt2,6,not_processed_together,0.3116322084521658,0.13709830232861328,0.07067271498176135,0.2027361688006559
42,openai-community/gpt2,7,not_processed_together,0.3142784890722906,0.1475176528151661,0.07460108598835327,0.21824305300356847
43,openai-community/gpt2,8,not_processed_together,0.3186889567724986,0.1489666537595593,0.08114837099933983,0.22037474131442933
44,openai-community/gpt2,9,not_processed_together,0.3213352373926234,0.15032704562727467,0.08507674200593175,0.22238534702504004
45,openai-community/gpt2,10,not_processed_together,0.30545755367187444,0.15569279905975233,0.061506515966380154,0.23046909643668323
46,openai-community/gpt2,11,not_processed_together,0.2913440570312088,0.14488571360253324,0.04055520393122318,0.2144646173463152
47,openai-community/gpt2,12,not_processed_together,0.26837609660250433,0.1234175234143606,0.006471358737199699,0.18224374174369143
48,microsoft/phi-1,1,not_processed_together,0.2596557463649566,0.12442251668437236,-0.006509321874093124,0.18499443178494898
49,microsoft/phi-1,2,not_processed_together,0.2596222179773338,0.12429423844288652,-0.00654728501098655,0.1844197142427342
50,microsoft/phi-1,3,not_processed_together,0.2693587753054142,0.12939787917269852,0.00789470515007729,0.19230382853980785
51,microsoft/phi-1,4,not_processed_together,0.2790618042458719,0.14096991546001716,0.02229873217424771,0.20940482834181937
52,microsoft/phi-1,5,not_processed_together,0.2790618042458719,0.1419599560073978,0.022298732174247705,0.21087357843856142
53,microsoft/phi-1,6,not_processed_together,0.2834722719460799,0.14518822478055673,0.028846017185234257,0.21563641152793522
54,microsoft/phi-1,7,not_processed_together,0.28788273964628797,0.14726708941494543,0.035393302196220805,0.21869485599153562
55,microsoft/phi-1,8,not_processed_together,0.29232673573411877,0.1461502871866823,0.0419785503441008,0.21733200855004162
56,microsoft/phi-1,9,not_processed_together,0.2939903376513336,0.14645948448531038,0.044483574937815115,0.2167912746856457
57,microsoft/phi-1,10,not_processed_together,0.29046196349116715,0.13896354313500703,0.039245746929025875,0.20565257996253647
58,microsoft/phi-1,11,not_processed_together,0.28957986995112556,0.14194828234427218,0.03793628992682856,0.2101024069287828
59,microsoft/phi-1,12,not_processed_together,0.2922261505712505,0.14423558465735611,0.04186466093342049,0.2134912289744607
60,microsoft/phi-1,13,not_processed_together,0.29134405703120886,0.13930028147428025,0.04055520393122319,0.2061483196794729
61,microsoft/phi-1,14,not_processed_together,0.29046196349116715,0.13829000310009038,0.03924574692902589,0.20464960545161723
62,microsoft/phi-1,15,not_processed_together,0.28781568287104237,0.13483355229127642,0.035317375922433954,0.19951971701423468
63,microsoft/phi-1,16,not_processed_together,0.2913440570312088,0.13348133514282856,0.0405552039312232,0.19748211898761583
64,microsoft/phi-1,17,not_processed_together,0.2957545247314168,0.13719569505505697,0.047102488942209746,0.20298533247249356
65,microsoft/phi-1,18,not_processed_together,0.2966701466590812,0.1402718046010535,0.04844990908130049,0.2079152182916309
66,microsoft/phi-1,19,not_processed_together,0.2975522401991229,0.142545266344818,0.04975936608349778,0.21128972301263133
67,microsoft/phi-1,20,not_processed_together,0.29667014665908126,0.1399385882608159,0.048449909081300466,0.2074198078303615
68,microsoft/phi-1,21,not_processed_together,0.29582158150666243,0.1472260441137873,0.0471784152159966,0.21858693680351635
69,microsoft/phi-1,22,not_processed_together,0.30026557759449324,0.14965863389837522,0.053763663363876585,0.22248579923104841
70,microsoft/phi-1,23,not_processed_together,0.2886977764110839,0.1448661700408922,0.036626832924631265,0.2144519288652052
