,model,layer,binom_p_val,num_success
0,roberta-base,1,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
1,roberta-base,2,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
2,roberta-base,3,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
3,roberta-base,4,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
4,roberta-base,5,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
5,roberta-base,6,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
6,roberta-base,7,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
7,roberta-base,8,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
8,roberta-base,9,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
9,roberta-base,10,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
10,roberta-base,11,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
11,roberta-base,12,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
12,bert-base-uncased,1,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
13,bert-base-uncased,2,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
14,bert-base-uncased,3,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
15,bert-base-uncased,4,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
16,bert-base-uncased,5,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
17,bert-base-uncased,6,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
18,bert-base-uncased,7,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
19,bert-base-uncased,8,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
20,bert-base-uncased,9,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
21,bert-base-uncased,10,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
22,bert-base-uncased,11,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
23,bert-base-uncased,12,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
24,distilroberta,1,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
25,distilroberta,2,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
26,distilroberta,3,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
27,distilroberta,4,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
28,distilroberta,5,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
29,distilroberta,6,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
30,xlnet-base-cased,1,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
31,xlnet-base-cased,2,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
32,xlnet-base-cased,3,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
33,xlnet-base-cased,4,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
34,xlnet-base-cased,5,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
35,xlnet-base-cased,6,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
36,xlnet-base-cased,7,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
37,xlnet-base-cased,8,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
38,xlnet-base-cased,9,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
39,xlnet-base-cased,10,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
40,xlnet-base-cased,11,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
41,xlnet-base-cased,12,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
42,xlm-mlm-xnli15-1024,1,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
43,xlm-mlm-xnli15-1024,2,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
44,xlm-mlm-xnli15-1024,3,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
45,xlm-mlm-xnli15-1024,4,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
46,xlm-mlm-xnli15-1024,5,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
47,xlm-mlm-xnli15-1024,6,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
48,xlm-mlm-xnli15-1024,7,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
49,xlm-mlm-xnli15-1024,8,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
50,xlm-mlm-xnli15-1024,9,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
51,xlm-mlm-xnli15-1024,10,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
52,xlm-mlm-xnli15-1024,11,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
53,xlm-mlm-xnli15-1024,12,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
54,bert-base-japanese,1,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
55,bert-base-japanese,2,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
56,bert-base-japanese,3,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
57,bert-base-japanese,4,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
58,bert-base-japanese,5,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
59,bert-base-japanese,6,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
60,bert-base-japanese,7,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
61,bert-base-japanese,8,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
62,bert-base-japanese,9,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
63,bert-base-japanese,10,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
64,bert-base-japanese,11,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
65,bert-base-japanese,12,"BinomTestResult(k=0, n=1770, alternative='two-sided', statistic=0.0, pvalue=0.0)",0
