,model,layer,binom_p_val,num_success
0,roberta-base,1,"BinomTestResult(k=540, n=820, alternative='two-sided', statistic=0.6585365853658537, pvalue=7.391537767445463e-20)",540
1,roberta-base,2,"BinomTestResult(k=588, n=820, alternative='two-sided', statistic=0.7170731707317073, pvalue=2.0104238829692166e-36)",588
2,roberta-base,3,"BinomTestResult(k=638, n=820, alternative='two-sided', statistic=0.7780487804878049, pvalue=4.420487314136754e-60)",638
3,roberta-base,4,"BinomTestResult(k=646, n=820, alternative='two-sided', statistic=0.7878048780487805, pvalue=1.5340583468642122e-64)",646
4,roberta-base,5,"BinomTestResult(k=619, n=820, alternative='two-sided', statistic=0.7548780487804878, pvalue=2.914608766557283e-50)",619
5,roberta-base,6,"BinomTestResult(k=646, n=820, alternative='two-sided', statistic=0.7878048780487805, pvalue=1.5340583468642122e-64)",646
6,roberta-base,7,"BinomTestResult(k=623, n=820, alternative='two-sided', statistic=0.7597560975609756, pvalue=3.0562026024986852e-52)",623
7,roberta-base,8,"BinomTestResult(k=645, n=820, alternative='two-sided', statistic=0.7865853658536586, pvalue=5.6780357150725975e-64)",645
8,roberta-base,9,"BinomTestResult(k=654, n=820, alternative='two-sided', statistic=0.7975609756097561, pvalue=3.34430246894997e-69)",654
9,roberta-base,10,"BinomTestResult(k=673, n=820, alternative='two-sided', statistic=0.8207317073170731, pvalue=3.985406888588872e-81)",673
10,roberta-base,11,"BinomTestResult(k=666, n=820, alternative='two-sided', statistic=0.8121951219512196, pvalue=1.3725797960408508e-76)",666
11,roberta-base,12,"BinomTestResult(k=631, n=820, alternative='two-sided', statistic=0.7695121951219512, pvalue=2.438534540382763e-56)",631
12,bert-base-uncased,1,"BinomTestResult(k=684, n=820, alternative='two-sided', statistic=0.8341463414634146, pvalue=1.2979476571362552e-88)",684
13,bert-base-uncased,2,"BinomTestResult(k=703, n=820, alternative='two-sided', statistic=0.8573170731707317, pvalue=1.1889037187087221e-102)",703
14,bert-base-uncased,3,"BinomTestResult(k=696, n=820, alternative='two-sided', statistic=0.848780487804878, pvalue=2.617344720260901e-97)",696
