,model,layer,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
0,openai-community/gpt2,1,0.17617415064064063,0.11942615324177899,0.05642054050516463,0.22557378952142082,0.35763300098661616,0.1513834719542686,0.3770046616282182,0.23348771936218832,0.2585945192152346,0.1425658219960399,0.2746598494051224,0.24239059217125242
1,openai-community/gpt2,2,0.2237573486274553,0.13398781302892224,0.09416701474752606,0.22551678752917745,0.3845045843052868,0.16740960858805498,0.42464646766031217,0.25276579090557405,0.2694440976976989,0.15843302434816622,0.21393717819943586,0.251048382658826
2,openai-community/gpt2,3,0.24371728090642045,0.11969574127358343,0.06539692383607867,0.24483664029455512,0.4023284836538327,0.1780097722927557,0.3184506572513062,0.2623999412362003,0.34384895747141137,0.15721265897315842,0.340880304286309,0.26317137371218885
3,openai-community/gpt2,4,0.2367760834156278,0.115560625574364,0.07583461671676371,0.24940892467243347,0.40043140383457737,0.18268058712803423,0.344405794995655,0.26698095113245596,0.3154152861907615,0.16396791342888847,0.2974308511072549,0.2763031031468996
4,openai-community/gpt2,5,0.17086574006396169,0.11056943797471126,0.08369135872994757,0.2618484790810387,0.3078795388675325,0.1866964162398363,0.36487040146712196,0.2775079883672686,0.22962840762762013,0.14885514162236663,0.25173661449586254,0.2955469534424358
5,openai-community/gpt2,6,0.13449546050355785,0.09658847744196221,0.08765769287343295,0.269992391836163,0.25203772076127234,0.19348303496371855,0.37679806902538177,0.2763109302396945,0.19334490351261702,0.14427124881158304,0.2343872798656664,0.2797969566939452
6,openai-community/gpt2,7,0.1588801454589167,0.09648354970107664,0.07980095086024908,0.2540487927900884,0.2975986693650521,0.19278008300041571,0.3572800675664112,0.26498474393639204,0.22562318019940716,0.1527159856066959,0.2853509503418676,0.27580182500923317
7,openai-community/gpt2,8,0.1624781445267113,0.10073497878184721,0.07983891399714249,0.24154447576289736,0.3052064052301934,0.19252292299909918,0.37354506878222,0.27097425071664927,0.21961858353072666,0.15519535903516885,0.2755919496123822,0.2708458368362378
8,openai-community/gpt2,9,0.16190471754355032,0.10108115729882962,0.09817131202790486,0.2479092178148708,0.30099301355535085,0.1941616252566263,0.3822197360973181,0.2695475259618582,0.20436796451731049,0.1624670348975015,0.24956794766708798,0.2835363049449813
9,openai-community/gpt2,10,0.1731155204677062,0.10486908006536168,0.09420497788441946,0.24511154707155092,0.3216174729952194,0.19416805003767607,0.389810069998029,0.26331651539976836,0.21600459387916213,0.16321977692192263,0.25932694839657333,0.279729154805989
10,openai-community/gpt2,11,0.17055634050705978,0.10398305594216142,0.08631027273434219,0.24764749723518556,0.31635001909625554,0.19164169217935917,0.37462940219660734,0.267897766183697,0.21587666818677326,0.15984932273908212,0.278844949855544,0.28037217708623535
11,openai-community/gpt2,12,0.153531828676046,0.10212771868920509,0.09158606388002485,0.24400293990977845,0.29958731504294905,0.19280099851695298,0.3724607353678328,0.2791135860314099,0.2024729629379302,0.15682499749014073,0.2680016157116714,0.28733758730450576
12,microsoft/phi-1,1,0.15640657909095382,0.10625887843811446,-0.005199864871895809,0.20880711766054863,0.3403553028317154,0.14683084908982486,0.4772756559306207,0.21079859907737944,0.19956061674597644,0.13785934943958655,0.22377229553248495,0.23623673289158437
13,microsoft/phi-1,2,0.24624154797591571,0.14032509705203602,0.03127511550516174,0.25285076788483835,0.4410613561922055,0.18023322290725535,0.3573489317673566,0.2746653796362505,0.3374089050122781,0.1624756648439666,0.31253540230511273,0.25523469896877665
14,microsoft/phi-1,3,0.25528891888536104,0.1314866381961809,0.04309819166183096,0.24458643975026312,0.4642527189994095,0.15859815810862365,0.3671767966977874,0.2478398398364112,0.34441555493007014,0.15850988655638043,0.3202018528093873,0.25348490704261467
15,microsoft/phi-1,4,0.2556599262406341,0.13282642898396652,0.0483360196706202,0.23891470308675802,0.47130726082897034,0.15263813513618926,0.3671767966977874,0.24207998000991696,0.3426685663018504,0.16129757769826286,0.3234548530525491,0.25821652514775123
