,model,layer,representation,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_std,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_std_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_std,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_std_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_std,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_std_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_std,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_std_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_std,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_std_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_std,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_std_within_compound_sentences
0,roberta-base,1,compound_mean,0.4922435651914579,0.014135397584314398,,,0.36826570218574095,0.11203518295484381,0.520242407454938,0.19569080968529426,0.023161911390233957,0.1022804314710723,0.28902065578846764,0.2753691304938332,0.39424251457738735,0.10597269331002927,0.5500376031604339,0.1542677272069226,0.29297321255541314,0.11036593126159755,0.5364498031369358,0.1676951489651,0.6917223286403956,0.06240896779859388,0.6478306878306879,0.12895542196371376
1,roberta-base,1,head_noun_mean,0.4224124636619123,0.043340621506750165,,,0.31342791927856717,0.10426836611753612,0.4340624175467763,0.20317486823176534,0.0024267863763964754,0.12429668689813456,0.20400965709610733,0.3575378256198332,0.3407991276769877,0.12709689134348082,0.46790748958160067,0.1754439076555475,0.2718714727605782,0.12446315456877992,0.448550230438269,0.19513456744282345,0.5251725626389026,0.11081890240022613,0.43174603174603177,0.23044936949482567
2,roberta-base,1,mod_word_mean,0.38501252018809917,0.03780715103956116,,,0.32618667232804743,0.10927094296977367,0.3590905672901222,0.19405342967622435,0.022296442702013638,0.06641716029806242,0.20533390408266,0.21564289372694667,0.32069264639499084,0.0927448097072932,0.41139501105345,0.1755824568232248,0.2441401074144499,0.08084085123530682,0.3934478796700336,0.1658649817790433,0.423126715640951,0.10088723635219121,0.49788359788359776,0.1841572376775359
3,roberta-base,2,compound_mean,0.4904516402689144,0.016526396780577834,,,0.3759326461223018,0.10464589145351796,0.5306874947991305,0.19182508023769274,0.026966274642702858,0.09853703574066562,0.2944613756476377,0.28514240448481426,0.4094033899878759,0.10687876838512762,0.5651834095359618,0.1635502385672846,0.3093169479156568,0.11027346922620783,0.557424137452805,0.15184626505049345,0.6919890140804171,0.06407291137874477,0.635978835978836,0.15452489426214147
4,roberta-base,2,head_noun_mean,0.4078540209920103,0.04336707608035621,,,0.2978670251849474,0.09906716674846633,0.41286317596541505,0.2093806548095755,0.017786770429905393,0.1117091250927261,0.20751524639874533,0.3513578125257507,0.3304098225043981,0.1300682298190879,0.44586588476161837,0.18378191314951675,0.26397425951771136,0.12207586941873799,0.4379647139397199,0.20093990348880683,0.5011147723353264,0.11373154036833846,0.4073015873015873,0.2196979075274329
5,roberta-base,2,mod_word_mean,0.3777640713808476,0.032947848540731024,,,0.31952530751767844,0.10630329203605998,0.35989103486930824,0.18382682967151515,0.014514440765341979,0.06517602389625299,0.20800700666542307,0.2136654613881893,0.3187065450988292,0.08977229757919292,0.4035369694173215,0.14349630544498845,0.24627643528976215,0.08308907092656533,0.4079500603055033,0.16730503148691778,0.4142057225727037,0.09811719588065174,0.49407407407407405,0.1911785697766309
6,roberta-base,3,compound_mean,0.4879946253252113,0.020397064496573213,,,0.365346005890069,0.10520165498984993,0.5234260389268504,0.19951421011242657,0.02324702610238783,0.09606547181946873,0.2800077849772064,0.28415869356986134,0.4013257224784457,0.10717993521311163,0.5781587871438061,0.17240866084747053,0.3016731412078853,0.10715504158277164,0.5750184671711774,0.1598291713959704,0.6775598981735009,0.06653422354837973,0.6440211640211639,0.13940745720887535
7,roberta-base,3,head_noun_mean,0.395327522020935,0.04182753707098092,,,0.2934497896512083,0.10290828399388509,0.41657793141723926,0.20772562085695667,0.027569120220277927,0.11041709710464997,0.2166641464091806,0.3805511133280642,0.32787562683529164,0.125533519469006,0.45128147058857315,0.1892481258092742,0.2654552762389512,0.11362964743557168,0.45095451713988666,0.2132627455869213,0.48509045720113425,0.10298363766789577,0.41322751322751317,0.19813285379760281
8,roberta-base,3,mod_word_mean,0.3775705373928846,0.03625925497918658,,,0.29736580976001475,0.10650645492838942,0.33234502608035965,0.18639027671392774,0.016532588010137014,0.07024159539841211,0.1998137429583056,0.21952328112756248,0.30414299508028025,0.08800676489824362,0.3818772686180692,0.1459169693856225,0.22876273688138843,0.08387532848284211,0.3873508032268621,0.14822756876642165,0.4086029389396444,0.11146929621187897,0.4725925925925925,0.18600706507519416
9,roberta-base,4,compound_mean,0.4863729995524621,0.01938599432985562,,,0.36456036574272493,0.10578002322334629,0.5271072081396576,0.20180157458871897,0.027948530890518623,0.0943473791082764,0.2767299322578191,0.2989221287794012,0.3979722633447923,0.10141805274372921,0.5812360548644155,0.15848051604022614,0.30227760434968354,0.10568990767792918,0.5755233378860428,0.16235482454245379,0.6719186708680137,0.0665779907830289,0.6270899470899471,0.1481097455895902
