,model,layer,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_std,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_std_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_std,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_std_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_std,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_std_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_std,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_std_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_std,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_std_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_std,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_std_within_compound_sentences
0,roberta-base,1,0.4140603758129359,0.04128969641976076,,,0.5071543678061181,0.08165786357195988,0.5614490447351285,0.16090790412117656,0.05237172495861545,0.116847029118307,0.3442484700687372,0.25072998241729094,0.5073715460320339,0.0845351660647543,0.6497925361580443,0.13398054119173267,0.42389076652346275,0.09910189214407149,0.6548081405578753,0.1462309188623688,0.7124473051488781,0.062347994497700676,0.6693121693121693,0.17663385431599393
1,roberta-base,2,0.4011758947960088,0.04529751290000751,,,0.5058595755667106,0.08183137091182179,0.5658227827501755,0.17298538042843567,0.0666599148280011,0.11781031514790613,0.33705713016736377,0.2797717333347635,0.5185123932286333,0.08337370466026799,0.6469282128386258,0.14824381749326293,0.4343816173044297,0.09742652745857625,0.6537965286403087,0.1628655847642965,0.6847098987039794,0.06564058254240944,0.6420105820105821,0.18686197775106342
2,roberta-base,3,0.40610346882246884,0.043600221691345475,,,0.45741202201450915,0.08912210808750613,0.5397878045979467,0.1791941519725184,0.0764692958526,0.11488426692908443,0.30944339307829316,0.3065943687465512,0.4931734197593473,0.09366590986339333,0.618686119010096,0.15950482267226435,0.40460921228377966,0.09941389339204164,0.6228791258145139,0.16725594497175683,0.6448810786844628,0.07241591536604157,0.6144973544973545,0.1791822514076289
3,roberta-base,4,0.39928756925784514,0.04622938954512459,,,0.4179422927067809,0.09626102745377751,0.5089937071243313,0.19989553635700338,0.08364154081625776,0.11142988725367496,0.29627806441256843,0.31766596266446495,0.46850138805545427,0.08935937009105467,0.5780461442172087,0.18247647916584123,0.381654109479092,0.09532084235574466,0.573658554302823,0.18772525896203843,0.5940270511069188,0.07870940341094186,0.5717460317460319,0.1819666182907393
4,roberta-base,5,0.3981187524739769,0.04884949201548958,,,0.41141934170657546,0.09309476217412098,0.5172168983758075,0.19655622983471807,0.08214046737935607,0.11441505847393806,0.28907200617760803,0.32633793493460955,0.4612295663898521,0.08211868900187572,0.5719205221811544,0.18478321613396903,0.37676723571847337,0.08782369785154448,0.5632807734659843,0.19175578133546953,0.5754704159098376,0.08683830864532337,0.5710052910052911,0.18886573746935548
5,roberta-base,6,0.39174366077518025,0.05334087324422529,,,0.3995065496090375,0.09563291402108287,0.5088612676035369,0.210925937544161,0.08789446843852027,0.11550606991401022,0.29354499220098307,0.33084055867517775,0.44860342247279156,0.08237195645136093,0.5593260256451836,0.18284268244194887,0.3660092394119302,0.09091901632231948,0.5571947800599132,0.19350238873892042,0.5529688701965417,0.08691490928994132,0.5576719576719577,0.19647918575451764
6,roberta-base,7,0.3919640618086486,0.052972637056428955,,,0.40243914998949926,0.09752901650977512,0.509832909532463,0.2198063610567925,0.08379144965952524,0.1195781298119086,0.3026555155832934,0.34032246674907063,0.4467863230950363,0.087428191555129,0.559483820411824,0.19099949090999152,0.3650783085328468,0.09578845304199271,0.5537107777978587,0.19911957544670364,0.5520616638455272,0.09400603024013295,0.5419047619047619,0.17432715074929717
7,roberta-base,8,0.3854037020155229,0.05485917407351421,,,0.3946822812270989,0.09980038117230121,0.5038584316891582,0.2276364232662486,0.08085469295863382,0.12308349216574943,0.2989541941124366,0.3346550781316529,0.4381751588056232,0.09255163558424677,0.5423657004748857,0.21280807481429742,0.35678511258137846,0.09911174956515695,0.5286650196111553,0.1971732452921214,0.5313122245639283,0.09959131658230376,0.5248148148148147,0.1867676828376304
8,roberta-base,9,0.37960306443965136,0.05483202579206429,,,0.379750274173173,0.09699708628394768,0.49914922751796886,0.21650594637549955,0.10428950095701803,0.11870807125140688,0.3002565464068151,0.34161120766289416,0.43805794268852893,0.0859171761048603,0.5412992158086068,0.1969896004261026,0.3566118795319505,0.09460962225337012,0.5383179047479726,0.19432444620109693,0.5261835079376581,0.1002504274480049,0.5235449735449734,0.19227221302743236
9,roberta-base,10,0.381351076675941,0.056680658409713085,,,0.35778750264201253,0.10384555038417506,0.47487852608194103,0.22971460168457686,0.11336148776109382,0.11600926232179624,0.2771276530316226,0.3510614047401086,0.4223989741862057,0.0934637660041688,0.5142341345307444,0.21659404740008031,0.3395084583004699,0.09700292698969004,0.5126193127424041,0.20248866237655566,0.5193302050717511,0.10129314014128198,0.4862962962962963,0.18808507254173984
