,model,layer,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_pvalue,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_pvalue_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_pvalue,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_pvalue_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_pvalue,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_pvalue_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_pvalue,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_pvalue_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_pvalue,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_pvalue_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_pvalue,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_pvalue_within_compound_sentences
0,roberta-base,1,0.06489793066326376,0.0,,,0.3499695429146874,0.0,0.3451681767609016,0.0,-0.023413046856642673,3.761973137239748e-110,0.17172870228948958,0.0,0.3710024541630079,0.0,0.46416577649784924,0.0,0.4079998017306847,0.0,0.5182111299680278,0.0,0.6097074401028202,0.0,0.6091766702301143,0.0
1,roberta-base,2,0.0644801618242198,0.0,,,0.33489472043049395,0.0,0.32620112186189376,0.0,-0.004873259213928101,3.4602449182928485e-06,0.15658299344051319,0.0,0.3719941352679611,0.0,0.4339976554562562,0.0,0.40509390332666567,0.0,0.4865746788546083,0.0,0.5582326685766584,0.0,0.5796190275606297,0.0
2,roberta-base,3,0.06532853663692614,0.0,,,0.25825820270130373,0.0,0.24819626040758436,0.0,0.01643784329856209,3.03130461669161e-55,0.11329312003734013,1.2461342873072289e-279,0.31125148924100837,0.0,0.3237784309481069,0.0,0.32913918454503305,0.0,0.3567893234762071,0.0,0.4339777972827915,0.0,0.48271050970686336,0.0
3,roberta-base,4,0.06536590026977268,0.0,,,0.1883803087889498,0.0,0.18158456437954962,0.0,0.040860081512911255,0.0,0.10127032847364129,7.356147139699639e-224,0.2586256964384946,0.0,0.2433837469899816,0.0,0.2671684490109299,0.0,0.2661671400404444,0.0,0.32966589923941786,0.0,0.4041223559490826,0.0
4,roberta-base,5,0.06533414747276804,0.0,,,0.1705147786444511,0.0,0.15606079434815137,0.0,0.052408258574982734,0.0,0.09645897396599849,2.7386938578936764e-203,0.24212771086181983,0.0,0.21926686615218566,0.0,0.24898821654331582,0.0,0.2457287630938853,0.0,0.2905179782189522,0.0,0.3802377444371284,0.0
5,roberta-base,6,0.0649019678533315,0.0,,,0.14985941605083158,0.0,0.14299135946824398,0.0,0.05800646647027252,0.0,0.09573070877930906,2.9119240601948313e-200,0.22491967501612875,0.0,0.21000751376248805,0.0,0.23110143298883828,0.0,0.23474565576588524,0.0,0.25897792053876306,0.0,0.3601510405298414,0.0
6,roberta-base,7,0.06492652112921497,0.0,,,0.1708135828103366,0.0,0.12278281268306161,0.0,0.033431231061001494,1.7662580502444602e-222,0.06845841085684504,2.1556356384039613e-103,0.20675376166760756,0.0,0.1720551005350725,0.0,0.21288311147285655,0.0,0.18869929109540426,0.0,0.2558488174910396,0.0,0.31371112126044665,0.0
7,roberta-base,8,0.06450611083953701,0.0,,,0.15351141706732552,0.0,0.09578364216964329,2.3280621157426063e-200,0.022925488760379184,1.0833765622761148e-105,0.06216637639888076,1.345321851263594e-85,0.1709420237820367,0.0,0.14219751774714448,0.0,0.17372380693798808,0.0,0.15798530996653462,0.0,0.22763293268725265,0.0,0.28976754810149574,0.0
8,roberta-base,9,0.06394672451851607,0.0,,,0.14105002735298947,0.0,0.11813740784905422,1.1117590679687731e-303,0.06685373691441653,0.0,0.09020676948380789,4.745010243045655e-178,0.22037197190326413,0.0,0.1947976774012757,0.0,0.22365612524865353,0.0,0.2116888090702925,0.0,0.21992067816684685,0.0,0.32249725777881033,0.0
9,roberta-base,10,0.06406343437919748,0.0,,,0.10755173313268014,0.0,0.0986427409923057,2.2600006265209593e-212,0.09332784492736033,0.0,0.08517277855203687,5.909379932571994e-159,0.21101027698519453,0.0,0.1660933838821742,0.0,0.21229780414297042,0.0,0.18069855654112843,0.0,0.18854643353038553,0.0,0.28035609000787537,0.0
