,model,layer,avg_head_mod_dist,compound_correlation
0,roberta-base,1,0.5271235520718107,0.09947950886353504
1,roberta-base,2,0.3108109865243533,0.11660215479827171
2,roberta-base,3,0.24818751246525986,0.10554022909386292
3,roberta-base,4,0.21939425464905923,0.10906994286515416
4,roberta-base,5,0.20972526092315544,0.10307198867321067
5,roberta-base,6,0.19351742348962878,0.09362551680972396
6,roberta-base,7,0.18635241262826532,0.10635902297939573
7,roberta-base,8,0.18351108115216921,0.15822425221600805
8,roberta-base,9,0.18036220507381454,0.20526629010444503
9,roberta-base,10,0.14126392563255216,0.2104403680519801
10,roberta-base,11,0.1258257630798157,0.15369665696537016
11,roberta-base,12,0.09197289066586907,0.11337707636416741
12,bert-base-uncased,1,0.7701207206134895,0.12243433869325548
13,bert-base-uncased,2,0.7305617475544192,0.08161276979075516
14,bert-base-uncased,3,0.7147797736691498,0.10667471197304282
15,bert-base-uncased,4,0.6821482883858205,0.13138031488890925
16,bert-base-uncased,5,0.6397415216101262,0.15777850200148202
17,bert-base-uncased,6,0.6355957566188024,0.14448373692733418
18,bert-base-uncased,7,0.636701759991332,0.1411080505202368
19,bert-base-uncased,8,0.5969876080122775,0.17624414939311908
20,bert-base-uncased,9,0.5810426744532952,0.19047260526085746
21,bert-base-uncased,10,0.5087360071087573,0.20525873400734182
22,bert-base-uncased,11,0.4200891946678593,0.18649151083307894
23,bert-base-uncased,12,0.43978949594533234,0.32489280432703743
24,distilroberta,1,0.34435715048666876,0.11551473498455492
25,distilroberta,2,0.21649164052224243,0.1009292513845205
26,distilroberta,3,0.17270943224874397,0.10235730294187884
27,distilroberta,4,0.14217161746279872,0.13716988903129948
28,distilroberta,5,0.12024228418073736,0.14032458865491376
29,distilroberta,6,0.07058897832053519,0.09344454010694109
30,xlnet-base-cased,1,0.7358532873822855,0.061143250910663444
31,xlnet-base-cased,2,0.6749837105558858,0.1491846938574299
32,xlnet-base-cased,3,0.5930909698607777,0.1875636606357094
33,xlnet-base-cased,4,0.5270685901610324,0.2761286812550753
34,xlnet-base-cased,5,0.46317498087283915,0.34240343732580625
35,xlnet-base-cased,6,0.27030304054409815,0.4560570064776559
36,xlnet-base-cased,7,0.21250231297177202,0.48417991328672444
37,xlnet-base-cased,8,0.1040961187332839,0.4301413412066354
38,xlnet-base-cased,9,0.09717435416455619,0.4285681613878588
39,xlnet-base-cased,10,0.060186119618554385,0.45471967919950756
40,xlnet-base-cased,11,0.01212884868491265,0.45710349030966574
41,xlnet-base-cased,12,0.028285987165592795,0.43898725899133545
42,xlm-mlm-xnli15-1024,1,0.12122742795720232,0.03314833529199888
43,xlm-mlm-xnli15-1024,2,0.08231164415041653,0.09933144992698495
44,xlm-mlm-xnli15-1024,3,0.07271914410257145,0.15872934762927235
45,xlm-mlm-xnli15-1024,4,0.05854490129087945,0.23660148625905753
46,xlm-mlm-xnli15-1024,5,0.027067421058976804,0.3921523034382591
47,xlm-mlm-xnli15-1024,6,0.016689973681103545,0.4669658512072941
48,xlm-mlm-xnli15-1024,7,0.013789669186312147,0.5338783362990419
49,xlm-mlm-xnli15-1024,8,0.029156343364113976,0.5636996570715133
50,xlm-mlm-xnli15-1024,9,0.06193042773235078,0.5736604902214308
51,xlm-mlm-xnli15-1024,10,0.11022018221765305,0.6064069038089643
52,xlm-mlm-xnli15-1024,11,0.13518861661089204,0.6207625685216448
53,xlm-mlm-xnli15-1024,12,0.11426852288020571,0.459153388164579
54,bert-base-japanese,1,0.6273322768222662,0.06715275735357955
55,bert-base-japanese,2,0.5507865819120745,0.08525214374828571
56,bert-base-japanese,3,0.5374677254728507,0.07978045396604276
57,bert-base-japanese,4,0.5197867336044111,0.08013907473536105
58,bert-base-japanese,5,0.5267077228611109,0.0740034971231771
59,bert-base-japanese,6,0.5397138834515018,0.05872369073576029
60,bert-base-japanese,7,0.5110132661067258,0.04525784274275283
61,bert-base-japanese,8,0.4772571556626128,0.06755483796767878
62,bert-base-japanese,9,0.4480977137936319,0.07872312696188255
63,bert-base-japanese,10,0.3450155174683189,0.08601119891620361
64,bert-base-japanese,11,0.22079531398510854,0.09697385043261948
65,bert-base-japanese,12,0.36001850193583346,0.08072754069687217
