,model,layer,avg_head_mod_dist,compound_correlation
0,bert-base-uncased,1,0.7701207206134894,0.12243433869325548
1,bert-base-uncased,2,0.7305617475544189,0.08161276979075516
2,bert-base-uncased,3,0.7147797736691496,0.10667471197304282
3,bert-base-uncased,4,0.6821482883858202,0.13138031488890925
4,bert-base-uncased,5,0.639741521610126,0.15777850200148202
5,bert-base-uncased,6,0.6355957566188022,0.14448373692733418
6,bert-base-uncased,7,0.6367017599913317,0.1411080505202368
7,bert-base-uncased,8,0.5969876080122772,0.17624414939311908
8,bert-base-uncased,9,0.5810426744532949,0.19047260526085746
9,bert-base-uncased,10,0.508736007108757,0.20525873400734182
10,bert-base-uncased,11,0.420089194667859,0.18649151083307894
11,bert-base-uncased,12,0.43978949594533207,0.32489280432703743
12,roberta-base,1,0.5271235520718105,0.09947950886353504
13,roberta-base,2,0.3108109865243533,0.11660215479827171
14,roberta-base,3,0.24818751246525994,0.10554022909386292
15,roberta-base,4,0.2193942546490594,0.10906994286515416
16,roberta-base,5,0.20972526092315547,0.10307198867321067
17,roberta-base,6,0.19351742348962883,0.09362551680972396
18,roberta-base,7,0.18635241262826527,0.10635902297939573
19,roberta-base,8,0.18351108115216921,0.15822425221600805
20,roberta-base,9,0.1803622050738146,0.20526629010444503
21,roberta-base,10,0.1412639256325522,0.2104403680519801
22,roberta-base,11,0.12582576307981577,0.15369665696537016
23,roberta-base,12,0.09197289066586926,0.11337707636416741
24,bert-base-japanese,1,0.627332276822266,0.06715275735357955
25,bert-base-japanese,2,0.5507865819120742,0.08525214374828571
26,bert-base-japanese,3,0.5374677254728504,0.07978045396604276
27,bert-base-japanese,4,0.5197867336044109,0.08013907473536105
28,bert-base-japanese,5,0.5267077228611107,0.0740034971231771
29,bert-base-japanese,6,0.5397138834515015,0.05872369073576029
30,bert-base-japanese,7,0.5110132661067256,0.04525784274275283
31,bert-base-japanese,8,0.47725715566261256,0.06755483796767878
32,bert-base-japanese,9,0.4480977137936317,0.07872312696188255
33,bert-base-japanese,10,0.34501551746831877,0.08601119891620361
34,bert-base-japanese,11,0.2207953139851085,0.09697385043261948
35,bert-base-japanese,12,0.3600185019358332,0.08072754069687217
36,openai-community/gpt2,1,0.274647960164236,0.03239709544355876
37,openai-community/gpt2,2,0.34035768126212096,0.013608894039879289
38,openai-community/gpt2,3,0.34468506628678647,0.042461184414351295
39,openai-community/gpt2,4,0.3659355447131181,0.04792241071120751
40,openai-community/gpt2,5,0.3654360460215378,0.06363338772857158
41,openai-community/gpt2,6,0.367260463180079,0.07370218558216952
42,openai-community/gpt2,7,0.3520066521527291,0.08244585969314741
43,openai-community/gpt2,8,0.31952154006973793,0.09753183936262731
44,openai-community/gpt2,9,0.28686587398399116,0.10333625313076845
45,openai-community/gpt2,10,0.253450637753734,0.10309234012849139
46,openai-community/gpt2,11,0.15730966614778538,0.09299955884874708
47,openai-community/gpt2,12,0.3262353165159416,0.02352659173960063
48,microsoft/phi-1,1,0.838711792807621,0.020474908623422227
49,microsoft/phi-1,2,0.8022750608474365,0.019154228845872236
50,microsoft/phi-1,3,0.7674752670080786,0.02439211040328379
51,microsoft/phi-1,4,0.7611081428487657,0.03340135006256084
52,microsoft/phi-1,5,0.7520851200380007,0.04302932485342167
53,microsoft/phi-1,6,0.7489206311371787,0.05631103199862549
54,microsoft/phi-1,7,0.7442920158116063,0.06997169588644149
55,microsoft/phi-1,8,0.7312419368021332,0.0860201522398917
56,microsoft/phi-1,9,0.7282330054979075,0.09782974391430276
57,microsoft/phi-1,10,0.7165915763482632,0.11695392861065286
58,microsoft/phi-1,11,0.70270807613883,0.1257753573845575
59,microsoft/phi-1,12,0.6886982820266035,0.1420392519820999
60,microsoft/phi-1,13,0.6766305886245341,0.14775028250516298
61,microsoft/phi-1,14,0.6686707850118865,0.1498595390609295
62,microsoft/phi-1,15,0.6639205434501302,0.15538190518886502
63,microsoft/phi-1,16,0.657494601574301,0.16230677555262593
64,microsoft/phi-1,17,0.655699285375603,0.1686996791520803
65,microsoft/phi-1,18,0.6571346656537398,0.17410854666680375
66,microsoft/phi-1,19,0.6512743303626103,0.17855981394895662
67,microsoft/phi-1,20,0.6492940474483908,0.18145623196867627
68,microsoft/phi-1,21,0.6561512711498769,0.18102337894830814
69,microsoft/phi-1,22,0.6574333085230498,0.1781529307855885
70,microsoft/phi-1,23,0.6598537823825112,0.17370715640977777
71,microsoft/phi-1,24,0.9669917172943823,0.014060504126686604
72,meta-llama/Llama-3.2-1B,1,0.7631872109731934,0.03847014940906921
73,meta-llama/Llama-3.2-1B,2,0.7006545757779243,0.0028113877611085085
74,meta-llama/Llama-3.2-1B,3,0.6304932644504121,0.005369288330903929
75,meta-llama/Llama-3.2-1B,4,0.5915131546997198,0.004858916211510994
76,meta-llama/Llama-3.2-1B,5,0.5513134473972473,-0.04575304544802797
77,meta-llama/Llama-3.2-1B,6,0.5052468199935802,-0.0029306736499960643
78,meta-llama/Llama-3.2-1B,7,0.48973583957895345,0.0038913324004710946
79,meta-llama/Llama-3.2-1B,8,0.45046033188714246,0.030904825229922932
80,meta-llama/Llama-3.2-1B,9,0.46007926588389586,0.09844826855861494
81,meta-llama/Llama-3.2-1B,10,0.45044228664179614,0.14703080748592956
82,meta-llama/Llama-3.2-1B,11,0.5022324327236986,-0.00904562848957408
83,meta-llama/Llama-3.2-1B,12,0.49161712475654695,-0.009629621514028928
84,meta-llama/Llama-3.2-1B,13,0.4568788320185269,0.009908760876141835
85,meta-llama/Llama-3.2-1B,14,0.42645994302862017,0.044909183132068875
86,meta-llama/Llama-3.2-1B,15,0.37472688569367163,0.05727415322043128
87,meta-llama/Llama-3.2-1B,16,0.9168150206376088,0.033260434535578184
