,model,layer,binom_p_val,num_success
0,roberta-base,1,"BinomTestResult(k=1598, n=1770, alternative='two-sided', statistic=0.9028248587570622, pvalue=1.3138787446151119e-289)",1598
1,roberta-base,2,"BinomTestResult(k=1620, n=1770, alternative='two-sided', statistic=0.9152542372881356, pvalue=1.3696028078586e-311)",1620
2,roberta-base,3,"BinomTestResult(k=1606, n=1770, alternative='two-sided', statistic=0.9073446327683616, pvalue=1.9497569603364392e-297)",1606
3,roberta-base,4,"BinomTestResult(k=1612, n=1770, alternative='two-sided', statistic=0.9107344632768362, pvalue=1.9803841440909756e-303)",1612
4,roberta-base,5,"BinomTestResult(k=1578, n=1770, alternative='two-sided', statistic=0.8915254237288136, pvalue=8.398423762878249e-271)",1578
5,roberta-base,6,"BinomTestResult(k=1585, n=1770, alternative='two-sided', statistic=0.8954802259887006, pvalue=2.8998767216987126e-277)",1585
6,roberta-base,7,"BinomTestResult(k=1563, n=1770, alternative='two-sided', statistic=0.8830508474576271, pvalue=2.2815565902013505e-257)",1563
7,roberta-base,8,"BinomTestResult(k=1596, n=1770, alternative='two-sided', statistic=0.9016949152542373, pvalue=1.1156202762103284e-287)",1596
8,roberta-base,9,"BinomTestResult(k=1600, n=1770, alternative='two-sided', statistic=0.903954802259887, pvalue=1.5081319801772632e-291)",1600
9,roberta-base,10,"BinomTestResult(k=1618, n=1770, alternative='two-sided', statistic=0.9141242937853107, pvalue=1.5674066990333e-309)",1618
10,roberta-base,11,"BinomTestResult(k=1613, n=1770, alternative='two-sided', statistic=0.9112994350282486, pvalue=1.9384076167734293e-304)",1613
11,roberta-base,12,"BinomTestResult(k=1605, n=1770, alternative='two-sided', statistic=0.9067796610169492, pvalue=1.8992132557856641e-296)",1605
12,bert-base-uncased,1,"BinomTestResult(k=1642, n=1770, alternative='two-sided', statistic=0.927683615819209, pvalue=0.0)",1642
13,bert-base-uncased,2,"BinomTestResult(k=1627, n=1770, alternative='two-sided', statistic=0.9192090395480226, pvalue=6.77947e-319)",1627
14,bert-base-uncased,3,"BinomTestResult(k=1661, n=1770, alternative='two-sided', statistic=0.9384180790960452, pvalue=0.0)",1661
15,bert-base-uncased,4,"BinomTestResult(k=1647, n=1770, alternative='two-sided', statistic=0.9305084745762712, pvalue=0.0)",1647
16,bert-base-uncased,5,"BinomTestResult(k=1586, n=1770, alternative='two-sided', statistic=0.896045197740113, pvalue=3.379890986510855e-278)",1586
17,bert-base-uncased,6,"BinomTestResult(k=1569, n=1770, alternative='two-sided', statistic=0.8864406779661017, pvalue=1.1234698811634792e-262)",1569
18,bert-base-uncased,7,"BinomTestResult(k=1589, n=1770, alternative='two-sided', statistic=0.8977401129943503, pvalue=5.1601193152901786e-281)",1589
19,bert-base-uncased,8,"BinomTestResult(k=1585, n=1770, alternative='two-sided', statistic=0.8954802259887006, pvalue=2.8998767216987126e-277)",1585
20,bert-base-uncased,9,"BinomTestResult(k=1599, n=1770, alternative='two-sided', statistic=0.9033898305084745, pvalue=1.4122087771702513e-290)",1599
21,bert-base-uncased,10,"BinomTestResult(k=1587, n=1770, alternative='two-sided', statistic=0.8966101694915254, pvalue=3.915605308752234e-279)",1587
22,bert-base-uncased,11,"BinomTestResult(k=1593, n=1770, alternative='two-sided', statistic=0.9, pvalue=8.323224548032329e-285)",1593
23,bert-base-uncased,12,"BinomTestResult(k=1574, n=1770, alternative='two-sided', statistic=0.8892655367231639, pvalue=3.636909023565144e-267)",1574
24,distilroberta,1,"BinomTestResult(k=1603, n=1770, alternative='two-sided', statistic=0.9056497175141243, pvalue=1.7664196532656183e-294)",1603
25,distilroberta,2,"BinomTestResult(k=1578, n=1770, alternative='two-sided', statistic=0.8915254237288136, pvalue=8.398423762878249e-271)",1578
26,distilroberta,3,"BinomTestResult(k=1565, n=1770, alternative='two-sided', statistic=0.884180790960452, pvalue=3.968216635048069e-259)",1565
27,distilroberta,4,"BinomTestResult(k=1583, n=1770, alternative='two-sided', statistic=0.8943502824858757, pvalue=2.096536063508797e-275)",1583
28,distilroberta,5,"BinomTestResult(k=1591, n=1770, alternative='two-sided', statistic=0.8988700564971751, pvalue=6.635277274059837e-283)",1591
29,distilroberta,6,"BinomTestResult(k=1596, n=1770, alternative='two-sided', statistic=0.9016949152542373, pvalue=1.1156202762103284e-287)",1596
30,xlnet-base-cased,1,"BinomTestResult(k=1628, n=1770, alternative='two-sided', statistic=0.919774011299435, pvalue=5.9505e-320)",1628
31,xlnet-base-cased,2,"BinomTestResult(k=1644, n=1770, alternative='two-sided', statistic=0.9288135593220339, pvalue=0.0)",1644
32,xlnet-base-cased,3,"BinomTestResult(k=1637, n=1770, alternative='two-sided', statistic=0.9248587570621469, pvalue=0.0)",1637
33,xlnet-base-cased,4,"BinomTestResult(k=1640, n=1770, alternative='two-sided', statistic=0.9265536723163842, pvalue=0.0)",1640
34,xlnet-base-cased,5,"BinomTestResult(k=1595, n=1770, alternative='two-sided', statistic=0.9011299435028248, pvalue=1.0182388198578035e-286)",1595
35,xlnet-base-cased,6,"BinomTestResult(k=1566, n=1770, alternative='two-sided', statistic=0.8847457627118644, pvalue=5.190359522386801e-260)",1566
36,xlnet-base-cased,7,"BinomTestResult(k=1562, n=1770, alternative='two-sided', statistic=0.8824858757062147, pvalue=1.7158890585240634e-256)",1562
37,xlnet-base-cased,8,"BinomTestResult(k=1535, n=1770, alternative='two-sided', statistic=0.867231638418079, pvalue=1.0752378272953097e-233)",1535
38,xlnet-base-cased,9,"BinomTestResult(k=1536, n=1770, alternative='two-sided', statistic=0.8677966101694915, pvalue=1.6436042843450947e-234)",1536
39,xlnet-base-cased,10,"BinomTestResult(k=1544, n=1770, alternative='two-sided', statistic=0.8723163841807909, pvalue=4.09884760838762e-241)",1544
40,xlnet-base-cased,11,"BinomTestResult(k=1561, n=1770, alternative='two-sided', statistic=0.8819209039548023, pvalue=1.2834738675872225e-255)",1561
41,xlnet-base-cased,12,"BinomTestResult(k=1524, n=1770, alternative='two-sided', statistic=0.8610169491525423, pvalue=7.338427457079093e-225)",1524
42,xlm-mlm-xnli15-1024,1,"BinomTestResult(k=1485, n=1770, alternative='two-sided', statistic=0.8389830508474576, pvalue=1.777887926041412e-195)",1485
43,xlm-mlm-xnli15-1024,2,"BinomTestResult(k=1469, n=1770, alternative='two-sided', statistic=0.8299435028248587, pvalue=3.0793005308605193e-184)",1469
