,model,representation,layer,relation_vector_corr,num_top_relations_considered,condition
0,roberta-base,compound,1,0.11736263568815569,1,_consider_magnitude
1,roberta-base,head,1,0.11390759790359417,1,_consider_magnitude
2,roberta-base,modifier,1,0.07740968696715304,1,_consider_magnitude
3,roberta-base,compound,1,0.12889634207449324,2,_consider_magnitude
4,roberta-base,head,1,0.10838916350570875,2,_consider_magnitude
5,roberta-base,modifier,1,0.07348655605086107,2,_consider_magnitude
6,roberta-base,compound,1,0.11609321142292063,3,_consider_magnitude
7,roberta-base,head,1,0.0838840490101135,3,_consider_magnitude
8,roberta-base,modifier,1,0.06767941172828701,3,_consider_magnitude
9,roberta-base,compound,1,0.08607496135333227,4,_consider_magnitude
10,roberta-base,head,1,0.06627379935329201,4,_consider_magnitude
11,roberta-base,modifier,1,0.044161873007166515,4,_consider_magnitude
12,roberta-base,compound,1,0.08896246105979419,5,_consider_magnitude
13,roberta-base,head,1,0.05976272355241061,5,_consider_magnitude
14,roberta-base,modifier,1,0.03264757452419004,5,_consider_magnitude
15,roberta-base,compound,1,0.0901866105175535,6,_consider_magnitude
16,roberta-base,head,1,0.05330609619060409,6,_consider_magnitude
17,roberta-base,modifier,1,0.03720531758061762,6,_consider_magnitude
18,roberta-base,compound,1,0.09270505783016117,7,_consider_magnitude
19,roberta-base,head,1,0.055880600206783274,7,_consider_magnitude
20,roberta-base,modifier,1,0.039795531980771834,7,_consider_magnitude
21,roberta-base,compound,1,0.08296341718620391,8,_consider_magnitude
22,roberta-base,head,1,0.048096604564740714,8,_consider_magnitude
23,roberta-base,modifier,1,0.03448995006610719,8,_consider_magnitude
24,roberta-base,compound,1,0.08327608557561532,9,_consider_magnitude
25,roberta-base,head,1,0.04741296025363013,9,_consider_magnitude
26,roberta-base,modifier,1,0.037804918165265836,9,_consider_magnitude
27,roberta-base,compound,1,0.08014678406837147,10,_consider_magnitude
28,roberta-base,head,1,0.04071820716482548,10,_consider_magnitude
29,roberta-base,modifier,1,0.03628019277385481,10,_consider_magnitude
30,roberta-base,compound,1,0.07924998323289036,11,_consider_magnitude
31,roberta-base,head,1,0.03799969978889411,11,_consider_magnitude
32,roberta-base,modifier,1,0.035296522341774376,11,_consider_magnitude
33,roberta-base,compound,1,0.07802103393982364,12,_consider_magnitude
34,roberta-base,head,1,0.03770843114147288,12,_consider_magnitude
35,roberta-base,modifier,1,0.034325626850370314,12,_consider_magnitude
36,roberta-base,compound,1,0.07433418606062348,13,_consider_magnitude
37,roberta-base,head,1,0.037194878526282844,13,_consider_magnitude
38,roberta-base,modifier,1,0.03405990808430183,13,_consider_magnitude
39,roberta-base,compound,1,0.0713525149067589,14,_consider_magnitude
40,roberta-base,head,1,0.035820294909505515,14,_consider_magnitude
41,roberta-base,modifier,1,0.029915717328887655,14,_consider_magnitude
42,roberta-base,compound,1,0.06684296084800057,15,_consider_magnitude
43,roberta-base,head,1,0.03261122981160156,15,_consider_magnitude
44,roberta-base,modifier,1,0.02690083132926451,15,_consider_magnitude
45,roberta-base,compound,1,0.06613267414639443,16,_consider_magnitude
46,roberta-base,head,1,0.03182429346593722,16,_consider_magnitude
47,roberta-base,modifier,1,0.026563572895408366,16,_consider_magnitude
48,roberta-base,compound,1,0.06501997681348268,17,_consider_magnitude
49,roberta-base,head,1,0.031268583546515155,17,_consider_magnitude
50,roberta-base,modifier,1,0.025872448604816793,17,_consider_magnitude
51,roberta-base,compound,1,0.06501997681348268,18,_consider_magnitude
52,roberta-base,head,1,0.031391222977008304,18,_consider_magnitude
53,roberta-base,modifier,1,0.025936323308198637,18,_consider_magnitude
54,roberta-base,compound,2,0.1393287446219206,1,_consider_magnitude
55,roberta-base,head,2,0.1370335347728998,1,_consider_magnitude
56,roberta-base,modifier,2,0.08773677317541004,1,_consider_magnitude
57,roberta-base,compound,2,0.15967034264205232,2,_consider_magnitude
58,roberta-base,head,2,0.13604200784095433,2,_consider_magnitude
59,roberta-base,modifier,2,0.09856872507209828,2,_consider_magnitude
60,roberta-base,compound,2,0.14543706429806122,3,_consider_magnitude
61,roberta-base,head,2,0.10318523653725058,3,_consider_magnitude
62,roberta-base,modifier,2,0.09369399133824445,3,_consider_magnitude
63,roberta-base,compound,2,0.11998189124793032,4,_consider_magnitude
64,roberta-base,head,2,0.08363484809924457,4,_consider_magnitude
65,roberta-base,modifier,2,0.06482266629163964,4,_consider_magnitude
66,roberta-base,compound,2,0.12420802178338718,5,_consider_magnitude
67,roberta-base,head,2,0.07709296408116471,5,_consider_magnitude
68,roberta-base,modifier,2,0.05310728090487223,5,_consider_magnitude
69,roberta-base,compound,2,0.12717454009374748,6,_consider_magnitude
70,roberta-base,head,2,0.07736583326842918,6,_consider_magnitude
71,roberta-base,modifier,2,0.05915127600366486,6,_consider_magnitude
72,roberta-base,compound,2,0.12321047276522673,7,_consider_magnitude
73,roberta-base,head,2,0.07721918714171919,7,_consider_magnitude
74,roberta-base,modifier,2,0.061996503431399376,7,_consider_magnitude
75,roberta-base,compound,2,0.11489836687701611,8,_consider_magnitude
76,roberta-base,head,2,0.07260033566400739,8,_consider_magnitude
77,roberta-base,modifier,2,0.05345827285229726,8,_consider_magnitude
78,roberta-base,compound,2,0.11506783340316931,9,_consider_magnitude
79,roberta-base,head,2,0.07398486231957577,9,_consider_magnitude
80,roberta-base,modifier,2,0.0558469841689846,9,_consider_magnitude
81,roberta-base,compound,2,0.11346893932861299,10,_consider_magnitude
82,roberta-base,head,2,0.06768227445043802,10,_consider_magnitude
83,roberta-base,modifier,2,0.05552053092653451,10,_consider_magnitude
84,roberta-base,compound,2,0.1115245933576696,11,_consider_magnitude
85,roberta-base,head,2,0.0647925828694433,11,_consider_magnitude
86,roberta-base,modifier,2,0.05420471203686848,11,_consider_magnitude
87,roberta-base,compound,2,0.11105192055264393,12,_consider_magnitude
88,roberta-base,head,2,0.0652908055558217,12,_consider_magnitude
89,roberta-base,modifier,2,0.054191937096192105,12,_consider_magnitude
90,roberta-base,compound,2,0.10875243123089746,13,_consider_magnitude
91,roberta-base,head,2,0.06623104118960248,13,_consider_magnitude
