,model,representation,layer,relation_vector_corr,num_top_relations_considered,condition
0,openai-community/gpt2,compound,1,-0.0047914203238730475,1,_consider_magnitude
1,openai-community/gpt2,head,1,-0.0242790362758917,1,_consider_magnitude
2,openai-community/gpt2,modifier,1,-0.025419837316573476,1,_consider_magnitude
3,openai-community/gpt2,compound,1,0.02319694831223385,2,_consider_magnitude
4,openai-community/gpt2,head,1,-0.0078276116471112,2,_consider_magnitude
5,openai-community/gpt2,modifier,1,0.008306631825795873,2,_consider_magnitude
6,openai-community/gpt2,compound,1,0.04299594849951143,3,_consider_magnitude
7,openai-community/gpt2,head,1,0.01569253850118492,3,_consider_magnitude
8,openai-community/gpt2,modifier,1,0.012178700606603176,3,_consider_magnitude
9,openai-community/gpt2,compound,1,0.0505942864113712,4,_consider_magnitude
10,openai-community/gpt2,head,1,0.011828044688254769,4,_consider_magnitude
11,openai-community/gpt2,modifier,1,0.016405784602445062,4,_consider_magnitude
12,openai-community/gpt2,compound,1,0.06685729884116053,5,_consider_magnitude
13,openai-community/gpt2,head,1,-0.00520438087880099,5,_consider_magnitude
14,openai-community/gpt2,modifier,1,0.00930898404866361,5,_consider_magnitude
15,openai-community/gpt2,compound,1,0.06527522396357474,6,_consider_magnitude
16,openai-community/gpt2,head,1,-0.007600927057326497,6,_consider_magnitude
17,openai-community/gpt2,modifier,1,0.019424294793401055,6,_consider_magnitude
18,openai-community/gpt2,compound,1,0.05900434856362187,7,_consider_magnitude
19,openai-community/gpt2,head,1,-0.011531068641595841,7,_consider_magnitude
20,openai-community/gpt2,modifier,1,0.014937167238365353,7,_consider_magnitude
21,openai-community/gpt2,compound,1,0.06374342686304728,8,_consider_magnitude
22,openai-community/gpt2,head,1,-0.011873117079707882,8,_consider_magnitude
23,openai-community/gpt2,modifier,1,0.015360691691090502,8,_consider_magnitude
24,openai-community/gpt2,compound,1,0.0698623850134793,9,_consider_magnitude
25,openai-community/gpt2,head,1,-0.005727026024888502,9,_consider_magnitude
26,openai-community/gpt2,modifier,1,0.02316231151719569,9,_consider_magnitude
27,openai-community/gpt2,compound,1,0.06706141233356648,10,_consider_magnitude
28,openai-community/gpt2,head,1,-0.00310623476186228,10,_consider_magnitude
29,openai-community/gpt2,modifier,1,0.028368726374350898,10,_consider_magnitude
30,openai-community/gpt2,compound,1,0.06806807765886437,11,_consider_magnitude
31,openai-community/gpt2,head,1,-0.0001245559898340828,11,_consider_magnitude
32,openai-community/gpt2,modifier,1,0.03318616573479389,11,_consider_magnitude
33,openai-community/gpt2,compound,1,0.06674714879292779,12,_consider_magnitude
34,openai-community/gpt2,head,1,0.00012200099517081955,12,_consider_magnitude
35,openai-community/gpt2,modifier,1,0.03336501524698217,12,_consider_magnitude
36,openai-community/gpt2,compound,1,0.06586567788625833,13,_consider_magnitude
37,openai-community/gpt2,head,1,0.0006866548157519949,13,_consider_magnitude
38,openai-community/gpt2,modifier,1,0.03456202948212804,13,_consider_magnitude
39,openai-community/gpt2,compound,1,0.06529336054395699,14,_consider_magnitude
40,openai-community/gpt2,head,1,-0.0016613852797869196,14,_consider_magnitude
41,openai-community/gpt2,modifier,1,0.03482519376434795,14,_consider_magnitude
42,openai-community/gpt2,compound,1,0.06379358250855123,15,_consider_magnitude
43,openai-community/gpt2,head,1,-0.0006674923557775205,15,_consider_magnitude
44,openai-community/gpt2,modifier,1,0.03379297657971842,15,_consider_magnitude
45,openai-community/gpt2,compound,1,0.06350231386113,16,_consider_magnitude
46,openai-community/gpt2,head,1,-0.00035833800152266896,16,_consider_magnitude
47,openai-community/gpt2,modifier,1,0.033609017081467615,16,_consider_magnitude
48,openai-community/gpt2,compound,1,0.06350870133146819,17,_consider_magnitude
49,openai-community/gpt2,head,1,-0.00023186576569113877,17,_consider_magnitude
50,openai-community/gpt2,modifier,1,0.03350298487067028,17,_consider_magnitude
51,openai-community/gpt2,compound,1,0.06375653518058975,18,_consider_magnitude
52,openai-community/gpt2,head,1,0.000251028225665613,18,_consider_magnitude
53,openai-community/gpt2,modifier,1,0.03352597980795163,18,_consider_magnitude
54,openai-community/gpt2,compound,2,0.006312506140975602,1,_consider_magnitude
55,openai-community/gpt2,head,2,-0.00976754392553712,1,_consider_magnitude
56,openai-community/gpt2,modifier,2,0.00794495716968745,1,_consider_magnitude
57,openai-community/gpt2,compound,2,0.037223625557509306,2,_consider_magnitude
58,openai-community/gpt2,head,2,0.03134300728599948,2,_consider_magnitude
59,openai-community/gpt2,modifier,2,0.02090151345737808,2,_consider_magnitude
60,openai-community/gpt2,compound,2,0.049999873779115356,3,_consider_magnitude
61,openai-community/gpt2,head,2,0.012801248405218945,3,_consider_magnitude
62,openai-community/gpt2,modifier,2,0.004983533712175323,3,_consider_magnitude
63,openai-community/gpt2,compound,2,0.052290643444444874,4,_consider_magnitude
64,openai-community/gpt2,head,2,-0.001963139155828704,4,_consider_magnitude
65,openai-community/gpt2,modifier,2,0.0017138730310323348,4,_consider_magnitude
66,openai-community/gpt2,compound,2,0.043578102590581896,5,_consider_magnitude
67,openai-community/gpt2,head,2,0.00589277257508128,5,_consider_magnitude
68,openai-community/gpt2,modifier,2,0.017729980388915784,5,_consider_magnitude
69,openai-community/gpt2,compound,2,0.05122300760703901,6,_consider_magnitude
70,openai-community/gpt2,head,2,0.022237514099568326,6,_consider_magnitude
71,openai-community/gpt2,modifier,2,0.020812983294110066,6,_consider_magnitude
72,openai-community/gpt2,compound,2,0.041237949933684216,7,_consider_magnitude
73,openai-community/gpt2,head,2,0.02666429042184049,7,_consider_magnitude
74,openai-community/gpt2,modifier,2,0.03822535335886809,7,_consider_magnitude
75,openai-community/gpt2,compound,2,0.03886411070861223,8,_consider_magnitude
76,openai-community/gpt2,head,2,0.02836050416577449,8,_consider_magnitude
77,openai-community/gpt2,modifier,2,0.03765431803091005,8,_consider_magnitude
78,openai-community/gpt2,compound,2,0.03750342927644069,9,_consider_magnitude
79,openai-community/gpt2,head,2,0.029703043025735683,9,_consider_magnitude
80,openai-community/gpt2,modifier,2,0.03852159302387139,9,_consider_magnitude
81,openai-community/gpt2,compound,2,0.03704924420257223,10,_consider_magnitude
82,openai-community/gpt2,head,2,0.028786412573096616,10,_consider_magnitude
83,openai-community/gpt2,modifier,2,0.03449425606729839,10,_consider_magnitude
84,openai-community/gpt2,compound,2,0.041658442798606254,11,_consider_magnitude
85,openai-community/gpt2,head,2,0.03137206056599375,11,_consider_magnitude
86,openai-community/gpt2,modifier,2,0.03388616889110321,11,_consider_magnitude
87,openai-community/gpt2,compound,2,0.04276475266117983,12,_consider_magnitude
88,openai-community/gpt2,head,2,0.03165821923714442,12,_consider_magnitude
89,openai-community/gpt2,modifier,2,0.033735424591122054,12,_consider_magnitude
90,openai-community/gpt2,compound,2,0.04443571490164892,13,_consider_magnitude
91,openai-community/gpt2,head,2,0.031688879094767704,13,_consider_magnitude
92,openai-community/gpt2,modifier,2,0.03133373574396464,13,_consider_magnitude
93,openai-community/gpt2,compound,2,0.043158220834012,14,_consider_magnitude
94,openai-community/gpt2,head,2,0.03001791685429861,14,_consider_magnitude
95,openai-community/gpt2,modifier,2,0.03520709775703979,14,_consider_magnitude
96,openai-community/gpt2,compound,2,0.042427494227323684,15,_consider_magnitude
97,openai-community/gpt2,head,2,0.02847725900872848,15,_consider_magnitude
98,openai-community/gpt2,modifier,2,0.03719743351441812,15,_consider_magnitude
99,openai-community/gpt2,compound,2,0.042647223206957234,16,_consider_magnitude
100,openai-community/gpt2,head,2,0.028042911025731924,16,_consider_magnitude
101,openai-community/gpt2,modifier,2,0.0372970780516938,16,_consider_magnitude
102,openai-community/gpt2,compound,2,0.04245176661460879,17,_consider_magnitude
103,openai-community/gpt2,head,2,0.027441211319874936,17,_consider_magnitude
104,openai-community/gpt2,modifier,2,0.037748033457569635,17,_consider_magnitude
105,openai-community/gpt2,compound,2,0.042444101650202966,18,_consider_magnitude
106,openai-community/gpt2,head,2,0.02755107580969171,18,_consider_magnitude
107,openai-community/gpt2,modifier,2,0.037671383813511414,18,_consider_magnitude
108,openai-community/gpt2,compound,3,0.0037755522960224125,1,_consider_magnitude
109,openai-community/gpt2,head,3,-0.010202139873280707,1,_consider_magnitude
110,openai-community/gpt2,modifier,3,0.030812852695020324,1,_consider_magnitude
111,openai-community/gpt2,compound,3,-0.019440621789568256,2,_consider_magnitude
112,openai-community/gpt2,head,3,0.003586065597612877,2,_consider_magnitude
113,openai-community/gpt2,modifier,3,0.016375925138619393,2,_consider_magnitude
114,openai-community/gpt2,compound,3,-0.007665036533509398,3,_consider_magnitude
115,openai-community/gpt2,head,3,0.0012406953352441241,3,_consider_magnitude
116,openai-community/gpt2,modifier,3,0.02038179314170455,3,_consider_magnitude
117,openai-community/gpt2,compound,3,-0.004819594207549262,4,_consider_magnitude
118,openai-community/gpt2,head,3,-0.002542514472922968,4,_consider_magnitude
119,openai-community/gpt2,modifier,3,0.0013797216853593639,4,_consider_magnitude
120,openai-community/gpt2,compound,3,-0.006524348638470813,5,_consider_magnitude
121,openai-community/gpt2,head,3,0.00846815635912776,5,_consider_magnitude
122,openai-community/gpt2,modifier,3,0.012871106870569313,5,_consider_magnitude
123,openai-community/gpt2,compound,3,-0.010479380566185303,6,_consider_magnitude
124,openai-community/gpt2,head,3,0.0013107217913776615,6,_consider_magnitude
125,openai-community/gpt2,modifier,3,0.026346147383174593,6,_consider_magnitude
126,openai-community/gpt2,compound,3,-0.008570824479284969,7,_consider_magnitude
127,openai-community/gpt2,head,3,0.014373714064872258,7,_consider_magnitude
128,openai-community/gpt2,modifier,3,0.042739137794332624,7,_consider_magnitude
129,openai-community/gpt2,compound,3,-0.013407364469360507,8,_consider_magnitude
130,openai-community/gpt2,head,3,0.015315949749705873,8,_consider_magnitude
131,openai-community/gpt2,modifier,3,0.04197993366628448,8,_consider_magnitude
132,openai-community/gpt2,compound,3,-0.010972407059827265,9,_consider_magnitude
133,openai-community/gpt2,head,3,0.015071889450674359,9,_consider_magnitude
134,openai-community/gpt2,modifier,3,0.04090412174276507,9,_consider_magnitude
135,openai-community/gpt2,compound,3,-0.01194648577350669,10,_consider_magnitude
136,openai-community/gpt2,head,3,0.019746864550497744,10,_consider_magnitude
137,openai-community/gpt2,modifier,3,0.032644444657360126,10,_consider_magnitude
138,openai-community/gpt2,compound,3,-0.011054794914296118,11,_consider_magnitude
139,openai-community/gpt2,head,3,0.019358506353936118,11,_consider_magnitude
140,openai-community/gpt2,modifier,3,0.03021976091698524,11,_consider_magnitude
141,openai-community/gpt2,compound,3,-0.012058905251458737,12,_consider_magnitude
142,openai-community/gpt2,head,3,0.020250197213146692,12,_consider_magnitude
143,openai-community/gpt2,modifier,3,0.031205986337200946,12,_consider_magnitude
144,openai-community/gpt2,compound,3,-0.010888720685503318,13,_consider_magnitude
145,openai-community/gpt2,head,3,0.0200049183521604,13,_consider_magnitude
146,openai-community/gpt2,modifier,3,0.03305324275900394,13,_consider_magnitude
147,openai-community/gpt2,compound,3,-0.012046130310782369,14,_consider_magnitude
148,openai-community/gpt2,head,3,0.018413160743884795,14,_consider_magnitude
149,openai-community/gpt2,modifier,3,0.03601191901965105,14,_consider_magnitude
150,openai-community/gpt2,compound,3,-0.013091120458109373,15,_consider_magnitude
151,openai-community/gpt2,head,3,0.018745309201470394,15,_consider_magnitude
152,openai-community/gpt2,modifier,3,0.034392056541887435,15,_consider_magnitude
153,openai-community/gpt2,compound,3,-0.012746197059847404,16,_consider_magnitude
154,openai-community/gpt2,head,3,0.01880407392858169,16,_consider_magnitude
155,openai-community/gpt2,modifier,3,0.034448266280863456,16,_consider_magnitude
156,openai-community/gpt2,compound,3,-0.012596730253933885,17,_consider_magnitude
157,openai-community/gpt2,head,3,0.018769581588755496,17,_consider_magnitude
158,openai-community/gpt2,modifier,3,0.03495032144944477,17,_consider_magnitude
159,openai-community/gpt2,compound,3,-0.012182822176019521,18,_consider_magnitude
160,openai-community/gpt2,head,3,0.019114504987017465,18,_consider_magnitude
