,model,representation,layer,relation_vector_corr,num_top_relations_considered,condition
0,bert-base-uncased,compound,1,0.12052703743266369,1,_consider_magnitude
1,bert-base-uncased,head,1,0.08684313525786229,1,_consider_magnitude
2,bert-base-uncased,modifier,1,0.11210402472045829,1,_consider_magnitude
3,bert-base-uncased,compound,1,0.09310626057507027,2,_consider_magnitude
4,bert-base-uncased,head,1,0.061663566840723855,2,_consider_magnitude
5,bert-base-uncased,modifier,1,0.07569200844791696,2,_consider_magnitude
6,bert-base-uncased,compound,1,0.10828142597879095,3,_consider_magnitude
7,bert-base-uncased,head,1,0.06541147401870098,3,_consider_magnitude
8,bert-base-uncased,modifier,1,0.07434536981979577,3,_consider_magnitude
9,bert-base-uncased,compound,1,0.07955766272825097,4,_consider_magnitude
10,bert-base-uncased,head,1,0.04028679530492674,4,_consider_magnitude
11,bert-base-uncased,modifier,1,0.05949510814328913,4,_consider_magnitude
12,bert-base-uncased,compound,1,0.08087854576172653,5,_consider_magnitude
13,bert-base-uncased,head,1,0.028663091588491243,5,_consider_magnitude
14,bert-base-uncased,modifier,1,0.05879792330833703,5,_consider_magnitude
15,bert-base-uncased,compound,1,0.07237358168448928,6,_consider_magnitude
16,bert-base-uncased,head,1,0.013758103174080254,6,_consider_magnitude
17,bert-base-uncased,modifier,1,0.05925741249994228,6,_consider_magnitude
18,bert-base-uncased,compound,1,0.07220585849049846,7,_consider_magnitude
19,bert-base-uncased,head,1,0.01228354952017371,7,_consider_magnitude
20,bert-base-uncased,modifier,1,0.061669436118781513,7,_consider_magnitude
21,bert-base-uncased,compound,1,0.06395676939438441,8,_consider_magnitude
22,bert-base-uncased,head,1,0.0030557804488528188,8,_consider_magnitude
23,bert-base-uncased,modifier,1,0.06622049972689578,8,_consider_magnitude
24,bert-base-uncased,compound,1,0.06561215817821962,9,_consider_magnitude
25,bert-base-uncased,head,1,0.003224398116079173,9,_consider_magnitude
26,bert-base-uncased,modifier,1,0.07274313689610946,9,_consider_magnitude
27,bert-base-uncased,compound,1,0.06554119439307854,10,_consider_magnitude
28,bert-base-uncased,head,1,-0.0005525161842529694,10,_consider_magnitude
29,bert-base-uncased,modifier,1,0.0764382187900215,10,_consider_magnitude
30,bert-base-uncased,compound,1,0.06355341362383549,11,_consider_magnitude
31,bert-base-uncased,head,1,-0.003196928904261401,11,_consider_magnitude
32,bert-base-uncased,modifier,1,0.07526036925966025,11,_consider_magnitude
33,bert-base-uncased,compound,1,0.061933551146071866,12,_consider_magnitude
34,bert-base-uncased,head,1,-0.005672712407341758,12,_consider_magnitude
35,bert-base-uncased,modifier,1,0.07585823648331433,12,_consider_magnitude
36,bert-base-uncased,compound,1,0.06068160695978768,13,_consider_magnitude
37,bert-base-uncased,head,1,-0.005981865971709894,13,_consider_magnitude
38,bert-base-uncased,modifier,1,0.07778214254917554,13,_consider_magnitude
39,bert-base-uncased,compound,1,0.05928913842606343,14,_consider_magnitude
40,bert-base-uncased,head,1,-0.007471424054574547,14,_consider_magnitude
41,bert-base-uncased,modifier,1,0.07709996071705742,14,_consider_magnitude
42,bert-base-uncased,compound,1,0.05743932701612517,15,_consider_magnitude
43,bert-base-uncased,head,1,-0.009104061473014536,15,_consider_magnitude
44,bert-base-uncased,modifier,1,0.07729158482720296,15,_consider_magnitude
45,bert-base-uncased,compound,1,0.05703819387888717,16,_consider_magnitude
46,bert-base-uncased,head,1,-0.009461759811952873,16,_consider_magnitude
47,bert-base-uncased,modifier,1,0.07711784563400434,16,_consider_magnitude
48,bert-base-uncased,compound,1,0.056418609256083274,17,_consider_magnitude
49,bert-base-uncased,head,1,-0.009399162602638664,17,_consider_magnitude
50,bert-base-uncased,modifier,1,0.07682785448065076,17,_consider_magnitude
51,bert-base-uncased,compound,1,0.05634962457643087,18,_consider_magnitude
52,bert-base-uncased,head,1,-0.009153883741652375,18,_consider_magnitude
53,bert-base-uncased,modifier,1,0.0768610693264093,18,_consider_magnitude
54,bert-base-uncased,compound,2,0.12359093886425597,1,_consider_magnitude
55,bert-base-uncased,head,2,0.0964123947822414,1,_consider_magnitude
56,bert-base-uncased,modifier,2,0.12039665864834061,1,_consider_magnitude
57,bert-base-uncased,compound,2,0.1049063130802781,2,_consider_magnitude
58,bert-base-uncased,head,2,0.06700076164159911,2,_consider_magnitude
59,bert-base-uncased,modifier,2,0.0854524585763275,2,_consider_magnitude
60,bert-base-uncased,compound,2,0.10814950019045556,3,_consider_magnitude
61,bert-base-uncased,head,2,0.05871586968262247,3,_consider_magnitude
62,bert-base-uncased,modifier,2,0.07171278330200177,3,_consider_magnitude
63,bert-base-uncased,compound,2,0.07756488111433837,4,_consider_magnitude
64,bert-base-uncased,head,2,0.0395726815419966,4,_consider_magnitude
65,bert-base-uncased,modifier,2,0.0523256754403622,4,_consider_magnitude
66,bert-base-uncased,compound,2,0.07737065089840142,5,_consider_magnitude
67,bert-base-uncased,head,2,0.026909144156828692,5,_consider_magnitude
68,bert-base-uncased,modifier,2,0.05092582493132434,5,_consider_magnitude
69,bert-base-uncased,compound,2,0.07017924159277798,6,_consider_magnitude
70,bert-base-uncased,head,2,0.015020232352704402,6,_consider_magnitude
71,bert-base-uncased,modifier,2,0.04368987387727725,6,_consider_magnitude
72,bert-base-uncased,compound,2,0.07009652984545121,7,_consider_magnitude
73,bert-base-uncased,head,2,0.008321691174751828,7,_consider_magnitude
74,bert-base-uncased,modifier,2,0.050972035304135466,7,_consider_magnitude
75,bert-base-uncased,compound,2,0.060778348927517434,8,_consider_magnitude
76,bert-base-uncased,head,2,-0.002907590427085709,8,_consider_magnitude
77,bert-base-uncased,modifier,2,0.054330805480460515,8,_consider_magnitude
78,bert-base-uncased,compound,2,0.06283232842362839,9,_consider_magnitude
79,bert-base-uncased,head,2,-0.001806378342367651,9,_consider_magnitude
80,bert-base-uncased,modifier,2,0.05987237183291704,9,_consider_magnitude
81,bert-base-uncased,compound,2,0.06197187596810097,10,_consider_magnitude
82,bert-base-uncased,head,2,-0.005744252075129426,10,_consider_magnitude
83,bert-base-uncased,modifier,2,0.06131907649953851,10,_consider_magnitude
84,bert-base-uncased,compound,2,0.060091404700539426,11,_consider_magnitude
85,bert-base-uncased,head,2,-0.00916027121199056,11,_consider_magnitude
86,bert-base-uncased,modifier,2,0.0593261857540249,11,_consider_magnitude
87,bert-base-uncased,compound,2,0.05801419934656179,12,_consider_magnitude
88,bert-base-uncased,head,2,-0.012259471820077736,12,_consider_magnitude
89,bert-base-uncased,modifier,2,0.05904002708287423,12,_consider_magnitude
90,bert-base-uncased,compound,2,0.05701519898566971,13,_consider_magnitude
91,bert-base-uncased,head,2,-0.012310571582783212,13,_consider_magnitude
92,bert-base-uncased,modifier,2,0.06083107376570121,13,_consider_magnitude
93,bert-base-uncased,compound,2,0.05521137736216637,14,_consider_magnitude
94,bert-base-uncased,head,2,-0.014104173253745453,14,_consider_magnitude
95,bert-base-uncased,modifier,2,0.06146982079951966,14,_consider_magnitude
96,bert-base-uncased,compound,2,0.0528352383963617,15,_consider_magnitude
97,bert-base-uncased,head,2,-0.015305017677324161,15,_consider_magnitude
98,bert-base-uncased,modifier,2,0.06212645275028505,15,_consider_magnitude
99,bert-base-uncased,compound,2,0.05244688019980007,16,_consider_magnitude
100,bert-base-uncased,head,2,-0.015596286324745379,16,_consider_magnitude
101,bert-base-uncased,modifier,2,0.06213922769096141,16,_consider_magnitude
102,bert-base-uncased,compound,2,0.05186562039902527,17,_consider_magnitude
103,bert-base-uncased,head,2,-0.015439154554426038,17,_consider_magnitude
104,bert-base-uncased,modifier,2,0.06238578404601533,17,_consider_magnitude
105,bert-base-uncased,compound,2,0.05182218560072562,18,_consider_magnitude
106,bert-base-uncased,head,2,-0.015303740183256526,18,_consider_magnitude
107,bert-base-uncased,modifier,2,0.06263106290700163,18,_consider_magnitude
108,bert-base-uncased,compound,3,0.14138492669968247,1,_consider_magnitude
109,bert-base-uncased,head,3,0.1153526294298416,1,_consider_magnitude
110,bert-base-uncased,modifier,3,0.12473175322708288,1,_consider_magnitude
111,bert-base-uncased,compound,3,0.1251964751331923,2,_consider_magnitude
112,bert-base-uncased,head,3,0.08559184316782142,2,_consider_magnitude
113,bert-base-uncased,modifier,3,0.09932563633476788,2,_consider_magnitude
114,bert-base-uncased,compound,3,0.12840677910496714,3,_consider_magnitude
115,bert-base-uncased,head,3,0.09173289225995535,3,_consider_magnitude
116,bert-base-uncased,modifier,3,0.07734112283356921,3,_consider_magnitude
117,bert-base-uncased,compound,3,0.09746305479538045,4,_consider_magnitude
118,bert-base-uncased,head,3,0.07237206141182374,4,_consider_magnitude
119,bert-base-uncased,modifier,3,0.06421364851646148,4,_consider_magnitude
120,bert-base-uncased,compound,3,0.0978626464438786,5,_consider_magnitude
121,bert-base-uncased,head,3,0.057776294134224304,5,_consider_magnitude
122,bert-base-uncased,modifier,3,0.06237427120102746,5,_consider_magnitude
123,bert-base-uncased,compound,3,0.09027228696635575,6,_consider_magnitude
124,bert-base-uncased,head,3,0.045453274219042904,6,_consider_magnitude
125,bert-base-uncased,modifier,3,0.05221531990958444,6,_consider_magnitude
126,bert-base-uncased,compound,3,0.08833947577072662,7,_consider_magnitude
127,bert-base-uncased,head,3,0.03871723193448481,7,_consider_magnitude
128,bert-base-uncased,modifier,3,0.0592138760607677,7,_consider_magnitude
